,sptr,accession,organism,Gene Name,length,PE Score
270,sp,A2BD05,Sus scrofa ,NEK6 ,313,3
271,sp,P49931,Sus scrofa ,PMAP36 ,166,2
272,sp,Q5D891,Sus scrofa ,PIK3C3 ,887,2
273,sp,P80054,Sus scrofa ,PR39 ,172,1
274,sp,P80272,Sus scrofa ,HMGN2 ,90,1
275,sp,Q03365,Sus scrofa ,HNF1B ,559,1
276,sp,Q29119,Sus scrofa ,IAPP ,32,3
277,sp,P00998,Sus scrofa ,SPINK1 ,56,1
278,sp,Q865K8,Sus scrofa ,PAQR7 ,350,2
279,sp,Q29548,Sus scrofa ,HEXB ,531,1
280,sp,Q9N0F1,Sus scrofa ,DLST ,455,1
281,sp,Q5YA25,Sus scrofa ,P2RY2 ,373,1
282,sp,Q06AT1,Sus scrofa ,HPCA ,193,2
283,sp,P26461,Sus scrofa ,No Name,97,1
284,sp,Q8MJS1,Sus scrofa ,IL12RB2 ,861,2
285,sp,P15175,Sus scrofa ,No Name,96,1
286,sp,P04088,Sus scrofa ,INHBB ,407,1
287,sp,O77591,Sus scrofa ,IMPA1 ,277,2
288,sp,Q764M8,Sus scrofa ,IFNAR1 ,560,2
289,sp,Q68J42,Sus scrofa ,LIPE ,764,2
290,sp,O02773,Sus scrofa ,MAN1A1 ,659,1
291,sp,P79379,Sus scrofa ,MT2A ,61,3
292,sp,Q767L8,Sus scrofa ,MDC1 ,2042,3
293,sp,O02836,Sus scrofa ,NPY2R ,382,2
294,sp,Q95313,Sus scrofa ,MEA1 ,174,2
295,sp,P79385,Sus scrofa ,MFGE8 ,409,1
296,sp,Q29599,Sus scrofa ,OAS1 ,349,1
297,sp,P19757,Sus scrofa ,PRM2 ,92,2
298,sp,Q9TV63,Sus scrofa ,MYH2 ,1939,2
299,sp,P02189,Sus scrofa ,MB ,154,1
300,sp,Q2HXW4,Sus scrofa ,NTN1 ,600,2
301,sp,Q28955,Sus scrofa ,NTAN1 ,311,1
302,sp,C7EMF5,Sus scrofa ,KLF17 ,387,2
303,sp,Q28969,Sus scrofa ,NOS3 ,1205,1
304,sp,Q9GL76,Sus scrofa ,NECTIN1 ,515,1
305,sp,Q6QGC0,Sus scrofa ,PDLIM3 ,365,2
306,sp,Q767K9,Sus scrofa ,PPP1R10 ,925,3
307,sp,Q9BEC7,Sus scrofa ,NPL ,319,1
308,sp,P79386,Sus scrofa ,NR0B1 ,471,2
309,sp,Q7YS99,Sus scrofa ,OPTN ,574,1
310,sp,P51525,Sus scrofa ,No Name,228,2
311,sp,A1XQU9,Sus scrofa ,RPS20 ,119,1
312,sp,Q19S50,Sus scrofa ,STAT3 ,770,1
313,sp,Q9XT90,Sus scrofa ,MMP14 ,580,2
314,sp,Q3YFL6,Sus scrofa ,MYF6 ,242,3
315,sp,P27594,Sus scrofa ,MX1 ,663,2
316,sp,P79293,Sus scrofa ,MYH7 ,1935,1
317,sp,A5A779,Sus scrofa ,RABGGTA ,567,2
318,sp,Q29277,Sus scrofa ,PPP1R1B ,137,2
319,sp,P52552,Sus scrofa ,PRDX2 ,127,2
320,sp,O62640,Sus scrofa ,PIAP ,358,2
321,sp,Q29244,Sus scrofa ,PIGR ,102,2
322,sp,Q9TSX9,Sus scrofa ,PRDX6 ,224,2
323,sp,Q64L94,Sus scrofa ,PSME1 ,249,2
324,sp,Q95307,Sus scrofa ,RPL13A ,137,2
325,sp,P63053,Sus scrofa ,UBA52 ,128,1
326,sp,P15466,Sus scrofa ,No Name,34,1
327,sp,A1XQR6,Sus scrofa ,ROMO1 ,79,3
328,sp,Q29259,Sus scrofa ,NDUFB6 ,128,2
329,sp,Q2MJK3,Sus scrofa ,NRAS ,189,2
330,sp,Q06AU5,Sus scrofa ,RAB32 ,226,2
331,sp,P10775,Sus scrofa ,RNH1 ,456,1
332,sp,P36887,Sus scrofa ,PRKACA ,351,1
333,sp,O97581,Sus scrofa ,LHX3 ,383,2
334,sp,P49923,Sus scrofa ,LPL ,478,2
335,sp,Q52NJ0,Sus scrofa ,RABAC1 ,185,2
336,sp,Q19KI0,Sus scrofa ,RHCG ,460,2
337,sp,Q29029,Sus scrofa ,CDC25C ,502,3
338,sp,P79376,Sus scrofa ,MT1C ,61,3
339,sp,Q29077,Sus scrofa ,ODF1 ,262,2
340,sp,Q95250,Sus scrofa ,PGRMC1 ,194,1
341,sp,P61291,Sus scrofa ,PSME3 ,254,2
342,sp,Q6J1I8,Sus scrofa ,RNF114 ,228,1
343,sp,Q6WZ17,Sus scrofa ,NGB ,151,2
344,sp,P08552,Sus scrofa ,NEFM ,455,1
345,sp,P56632,Sus scrofa ,MT-ND4L ,98,1
346,sp,O77741,Sus scrofa ,SLC11A1 ,538,2
347,sp,P27485,Sus scrofa ,RBP4 ,201,1
348,sp,Q29223,Sus scrofa ,RPL34 ,117,1
349,sp,A1XQU7,Sus scrofa ,RPLP1 ,114,3
350,sp,P23695,Sus scrofa ,IGF2 ,181,1
351,sp,O18839,Sus scrofa ,KCNJ2 ,427,2
352,sp,Q003G9,Sus scrofa ,ODAM ,276,2
353,sp,Q6KEQ9,Sus scrofa ,PCDH11X ,1117,2
354,sp,Q0MS45,Sus scrofa ,PSEN2 ,448,1
355,sp,P35495,Sus scrofa ,No Name,133,1
356,sp,P12662,Sus scrofa ,RBP3 ,25,1
357,sp,Q3S853,Sus scrofa ,RGS2 ,212,2
358,sp,P15468,Sus scrofa ,RNASE4 ,147,1
359,sp,P67934,Sus scrofa ,TAC3 ,126,1
360,sp,Q3YLA6,Sus scrofa ,SRSF1 ,248,2
361,sp,Q06AT3,Sus scrofa ,UCHL5 ,329,2
362,sp,P21753,Sus scrofa ,TMSB10 ,42,1
363,sp,Q29076,Sus scrofa ,POU2F1 ,745,2
364,sp,Q10735,Sus scrofa ,PGB ,67,1
365,sp,Q29081,Sus scrofa ,PMVK ,192,1
366,sp,Q767L1,Sus scrofa ,PRR3 ,131,4
367,sp,A5GFW7,Sus scrofa ,RTF2 ,306,3
368,sp,A1Z623,Sus scrofa ,SELENOF ,162,2
369,sp,Q2IA00,Sus scrofa ,SPEF2 ,1812,2
370,sp,P01248,Sus scrofa ,GH1 ,216,1
371,sp,Q7YRV6,Sus scrofa ,SOCS2 ,198,2
372,sp,P15203,Sus scrofa ,TGFB3 ,409,2
373,sp,Q8HXL3,Sus scrofa ,WDR62 ,1541,3
374,sp,P42706,Sus scrofa ,THPO ,26,1
375,sp,F1RMN2,Sus scrofa ,TMEM86B ,226,3
376,sp,P38160,Sus scrofa ,TTL ,379,1
377,sp,P42099,Sus scrofa ,ZP2 ,716,2
378,sp,F1RRV3,Sus scrofa ,TG ,2692,1
379,sp,A5GFT6,Sus scrofa ,TSHZ2 ,1035,3
380,sp,Q06AA9,Sus scrofa ,UBE2D2 ,147,2
381,sp,P16708,Sus scrofa ,No Name,417,1
382,sp,Q29419,Sus scrofa ,ZFY ,148,3
383,sp,E1CHH8,Sus scrofa ,VRTN ,698,2
384,sp,O62651,Sus scrofa ,WT1 ,449,2
385,sp,Q28833,Sus scrofa ,VWF ,2482,2
386,sp,A5GFS8,Sus scrofa ,VAPB ,243,3
387,sp,Q95J46,Sus scrofa ,UTS2 ,121,2
388,sp,Q6RI85,Sus scrofa ,PGK2 ,417,2
389,sp,Q8WNW3,Sus scrofa ,Jup ,745,2
390,sp,P00336,Sus scrofa ,LDHB ,334,1
391,sp,P79280,Sus scrofa ,MYLK ,139,2
392,sp,Q6JTA8,Sus scrofa ,PRLR ,625,2
393,sp,P05383,Sus scrofa ,PRKACB ,351,1
394,sp,Q9TUH9,Sus scrofa ,KCNE1 ,130,2
395,sp,Q5ISC6,Sus scrofa ,HEBP1 ,189,2
396,sp,Q45FY6,Sus scrofa ,HPRT1 ,218,2
397,sp,Q462R2,Sus scrofa ,ITGB1BP2 ,346,2
398,sp,O97661,Sus scrofa ,HCRTR1 ,425,2
399,sp,O19072,Sus scrofa ,OTC ,328,2
400,sp,P32194,Sus scrofa ,NPG1 ,149,1
401,sp,Q29078,Sus scrofa ,No Name,389,2
402,sp,Q29095,Sus scrofa ,PTGDS ,189,1
403,sp,Q29073,Sus scrofa ,PTGR1 ,329,1
404,sp,P01177,Sus scrofa ,OXT ,125,1
405,sp,P02547,Sus scrofa ,NEFL ,549,1
406,sp,P81271,Sus scrofa ,MYH11 ,65,1
407,sp,P12037,Sus scrofa ,NEFH ,142,1
408,sp,Q95JB4,Sus scrofa ,LEAP2 ,77,3
409,sp,Q9GL51,Sus scrofa ,PAFAH1B1 ,410,2
410,sp,Q2L969,Sus scrofa ,MTX2 ,267,2
411,sp,A1XQU1,Sus scrofa ,PSMB7 ,277,2
412,sp,Q9BDP6,Sus scrofa ,PTTG1 ,121,2
413,sp,Q4PJW2,Sus scrofa ,NCOA1 ,1440,2
414,sp,Q6QA76,Sus scrofa ,PDZD11 ,140,2
415,sp,P79384,Sus scrofa ,PCCB ,539,1
416,sp,Q00655,Sus scrofa ,SYK ,628,1
417,sp,Q5U9S1,Sus scrofa ,MBL1 ,249,1
418,sp,P79378,Sus scrofa ,MT1F ,61,3
419,sp,P06867,Sus scrofa ,PLG ,809,1
420,sp,P11493,Sus scrofa ,PPP2CB ,293,2
421,sp,A5GFX0,Sus scrofa ,PRELID3B ,194,3
422,sp,Q9GLL9,Sus scrofa ,PROP1 ,226,2
423,sp,P62901,Sus scrofa ,RPL31 ,125,1
424,sp,P02550,Sus scrofa ,TUBA1A ,451,1
425,sp,Q4PLW0,Sus scrofa ,PLIN2 ,459,2
426,sp,O46560,Sus scrofa ,PDXK ,322,1
427,sp,O97676,Sus scrofa ,SREBF1 ,1151,2
428,sp,A1YIZ1,Sus scrofa ,SEPHS2 ,451,2
429,sp,P47787,Sus scrofa ,TBXAS1 ,534,1
430,sp,Q8SQ34,Sus scrofa ,CD40 ,278,2
431,sp,Q863I2,Sus scrofa ,OXSR1 ,529,2
432,sp,Q29079,Sus scrofa ,PAG2 ,420,2
433,sp,P01214,Sus scrofa ,PDYN ,256,1
434,sp,P35624,Sus scrofa ,TIMP1 ,207,2
435,sp,Q29100,Sus scrofa ,No Name,122,1
436,sp,Q9MZ01,Sus scrofa ,MCHR1 ,121,2
437,sp,Q9XSW3,Sus scrofa ,MBL2 ,240,1
438,sp,Q8MJ39,Sus scrofa ,MGP ,103,3
439,sp,Q95L04,Sus scrofa ,UPK2 ,184,2
440,sp,P46202,Sus scrofa ,No Name,420,2
441,sp,P79380,Sus scrofa ,MT2B ,61,3
442,sp,P29804,Sus scrofa ,PDHA1 ,389,1
443,sp,A0A4X1UM84,Sus scrofa ,PCK1 ,622,1
444,sp,Q9XSD9,Sus scrofa ,DCN ,360,2
445,sp,P62831,Sus scrofa ,RPL23 ,140,1
446,sp,P62279,Sus scrofa ,RPS13 ,107,2
447,sp,Q19AZ8,Sus scrofa ,F2 ,623,2
448,sp,Q9MZ15,Sus scrofa ,VDAC2 ,294,2
449,sp,Q75NG9,Sus scrofa ,TNNT3 ,271,2
450,sp,A7XUJ6,Sus scrofa ,TRAF6 ,541,2
451,sp,O77736,Sus scrofa ,FAS ,332,2
452,sp,P14610,Sus scrofa ,No Name,26,1
453,sp,Q2F7Z7,Sus scrofa ,TMEM59 ,323,2
