,sptr,accession,organism,Gene Name,length,PE Score
179,sp,Q9WVL3,Mus musculus ,Slc12a7 ,1083,1
180,sp,Q6A4L0,Mus musculus ,Slc22a13 ,551,1
181,sp,Q05A13,Mus musculus ,Sdr16c6 ,316,2
182,sp,Q9D687,Mus musculus ,Slc6a19 ,634,1
183,sp,Q9CY86,Mus musculus ,Sapcd1 ,146,2
184,sp,Q91XT4,Mus musculus ,Sec16b ,1051,1
185,sp,Q61009,Mus musculus ,Scarb1 ,509,1
186,sp,Q60710,Mus musculus ,Samhd1 ,658,1
187,sp,Q5FWI2,Mus musculus ,Sctr ,447,1
188,sp,Q9CQX8,Mus musculus ,Mrps36 ,102,1
189,sp,Q5XJV7,Mus musculus ,Setd5 ,1441,1
190,sp,P70275,Mus musculus ,Sema3e ,775,1
191,sp,O08665,Mus musculus ,Sema3a ,772,1
192,sp,Q64151,Mus musculus ,Sema4c ,834,1
193,sp,Q9DCT5,Mus musculus ,Sdf2 ,211,1
194,sp,P40224,Mus musculus ,Cxcl12 ,93,2
195,sp,Q9WUH7,Mus musculus ,Sema4g ,837,1
196,sp,P61620,Mus musculus ,Sec61a1 ,476,1
197,sp,Q61753,Mus musculus ,Phgdh ,533,1
198,sp,Q62203,Mus musculus ,Sf3a2 ,475,1
199,sp,Q61180,Mus musculus ,Scnn1a ,699,1
200,sp,Q3V0Q6,Mus musculus ,Spag8 ,470,1
201,sp,Q9D3S3,Mus musculus ,Snx29 ,818,1
202,sp,Q9D287,Mus musculus ,Bcas2 ,225,1
203,sp,O55100,Mus musculus ,Syngr1 ,234,1
204,sp,Q8R570,Mus musculus ,Snap47 ,413,1
205,sp,Q810B9,Mus musculus ,Slitrk3 ,980,1
206,sp,Q9D2H6,Mus musculus ,Sp2 ,612,2
207,sp,P60041,Mus musculus ,Sst ,116,1
208,sp,Q8BHJ9,Mus musculus ,Slu7 ,585,1
209,sp,P07759,Mus musculus ,Serpina3k ,418,1
210,sp,Q9WUZ7,Mus musculus ,Sh3bgr ,214,1
211,sp,Q9WVC6,Mus musculus ,Sgk1 ,431,1
212,sp,P53783,Mus musculus ,Sox1 ,391,2
213,sp,Q3TKT4,Mus musculus ,Smarca4 ,1613,1
214,sp,A2ALV5,Mus musculus ,Shoc1 ,1481,1
215,sp,P62315,Mus musculus ,Snrpd1 ,119,1
216,sp,A7XV07,Mus musculus ,Skint8 ,398,2
217,sp,Q8K190,Mus musculus ,Saysd1 ,188,1
218,sp,P97471,Mus musculus ,Smad4 ,551,1
219,sp,E9Q6E9,Mus musculus ,Simc1 ,1354,1
220,sp,Q8C3Q5,Mus musculus ,Shisa7 ,558,1
221,sp,Q920F6,Mus musculus ,Smc1b ,1248,1
222,sp,A7M7C7,Mus musculus ,Skor2 ,1008,1
223,sp,Q8C0X8,Mus musculus ,No Name,640,2
224,sp,P97801,Mus musculus ,Smn1 ,288,1
225,sp,Q9DAG5,Mus musculus ,Stpg4 ,247,1
226,sp,Q60770,Mus musculus ,Stxbp3 ,592,1
227,sp,P05480,Mus musculus ,Src ,535,1
228,sp,Q8BG54,Mus musculus ,Sptlc3 ,563,2
229,sp,Q9JLY0,Mus musculus ,Socs6 ,533,1
230,sp,Q5DQR4,Mus musculus ,Stxbp5l ,1185,1
231,sp,Q9JKK1,Mus musculus ,Stx6 ,255,1
232,sp,Q99JT2,Mus musculus ,Stk26 ,416,1
233,sp,O88838,Mus musculus ,Spsb2 ,264,1
234,sp,P61957,Mus musculus ,Sumo2 ,95,1
235,sp,Q8C0C7,Mus musculus ,Farsa ,508,1
236,sp,Q8VCK7,Mus musculus ,Sycn ,134,1
237,sp,Q6IEE6,Mus musculus ,Tmem132e ,1074,1
238,sp,Q3THK3,Mus musculus ,Gtf2f1 ,508,1
239,sp,Q4VBD2,Mus musculus ,Tapt1 ,564,1
240,sp,Q62264,Mus musculus ,Thrsp ,150,1
241,sp,P70271,Mus musculus ,Pdlim4 ,330,1
242,sp,Q99PV0,Mus musculus ,Prpf8 ,2335,1
243,sp,P33587,Mus musculus ,Proc ,460,1
244,sp,P09242,Mus musculus ,Alpl ,524,1
245,sp,Q52KR3,Mus musculus ,Prune2 ,3084,1
246,sp,Q80TL0,Mus musculus ,Ppm1e ,749,1
247,sp,Q8BRJ4,Mus musculus ,Ppp1r3e ,279,1
248,sp,P61014,Mus musculus ,Pln ,52,1
249,sp,Q9JIG4,Mus musculus ,Ppp1r3f ,799,1
250,sp,Q8BKG3,Mus musculus ,Ptk7 ,1062,1
251,sp,Q920S2,Mus musculus ,Prss41 ,322,1
252,sp,Q91V95,Mus musculus ,Pth2r ,546,1
253,sp,P0C5E4,Mus musculus ,Ptprq ,2300,1
254,sp,Q9R1Z7,Mus musculus ,Pts ,144,1
255,sp,Q05909,Mus musculus ,Ptprg ,1442,1
256,sp,Q9WV02,Mus musculus ,Rbmx ,391,1
257,sp,P62965,Mus musculus ,Crabp1 ,137,1
258,sp,P18911,Mus musculus ,Rarg ,458,1
259,sp,Q99P86,Mus musculus ,Retnlb ,105,1
260,sp,Q8R367,Mus musculus ,Rerg ,199,2
261,sp,Q6NS82,Mus musculus ,Retreg2 ,541,1
262,sp,Q8CGF1,Mus musculus ,Arhgap29 ,1266,1
263,sp,P27671,Mus musculus ,Rasgrf1 ,1262,1
264,sp,Q7TQP4,Mus musculus ,Rxfp4 ,414,2
265,sp,P27659,Mus musculus ,Rpl3 ,403,1
266,sp,P47968,Mus musculus ,Rpia ,303,1
267,sp,Q9D4G9,Mus musculus ,Rmi1 ,616,2
268,sp,Q9DBG6,Mus musculus ,Rpn2 ,631,1
269,sp,Q9CQN7,Mus musculus ,Mrpl41 ,135,1
270,sp,Q7M747,Mus musculus ,Scgb2b24 ,112,2
271,sp,Q8CD26,Mus musculus ,Slc35e1 ,409,1
272,sp,Q9Z132,Mus musculus ,Rspo1 ,265,1
273,sp,A2AKQ0,Mus musculus ,Slc35d1 ,355,2
274,sp,Q60648,Mus musculus ,Gm2a ,193,1
275,sp,Q8C1C1,Mus musculus ,Psapl1 ,522,1
276,sp,Q6GQS1,Mus musculus ,Slc25a23 ,467,1
277,sp,Q9CQD6,Mus musculus ,Sln ,31,1
278,sp,Q8VEB2,Mus musculus ,Sav1 ,386,1
279,sp,P17563,Mus musculus ,Selenbp1 ,472,1
280,sp,Q9EQU5,Mus musculus ,Set ,289,1
281,sp,O35464,Mus musculus ,Sema6a ,1031,1
282,sp,P18828,Mus musculus ,Sdc1 ,311,1
283,sp,Q5U4C3,Mus musculus ,Scaf1 ,1256,1
284,sp,Q80UJ9,Mus musculus ,Setmar ,309,2
285,sp,Q91WD9,Mus musculus ,Scgn ,276,2
286,sp,Q8R2U0,Mus musculus ,Seh1l ,360,2
287,sp,Q9JLZ8,Mus musculus ,Sigirr ,409,1
288,sp,Q70E20,Mus musculus ,Sned1 ,1403,2
289,sp,Q8BGQ1,Mus musculus ,Vipas39 ,491,1
290,sp,Q99LZ3,Mus musculus ,Gins4 ,223,1
291,sp,P60879,Mus musculus ,Snap25 ,206,1
292,sp,Q8BGD4,Mus musculus ,Slco4c1 ,722,1
293,sp,Q9WUV2,Mus musculus ,St6galnac3 ,305,1
294,sp,Q06985,Mus musculus ,Siah1b ,282,2
295,sp,Q76K27,Mus musculus ,St6gal2 ,524,2
296,sp,Q9CPV1,Mus musculus ,Ska1 ,254,2
297,sp,Q6PGB8,Mus musculus ,Smarca1 ,1046,1
298,sp,Q3UPR0,Mus musculus ,Shisa3 ,238,1
299,sp,Q3V0X1,Mus musculus ,Smim9 ,137,2
300,sp,Q61045,Mus musculus ,Sim1 ,765,1
301,sp,Q80TY4,Mus musculus ,St18 ,1045,2
302,sp,B2RQL2,Mus musculus ,Stox1 ,990,1
303,sp,Q9DBQ9,Mus musculus ,Swt1 ,907,2
304,sp,P97363,Mus musculus ,Sptlc2 ,560,1
305,sp,O09012,Mus musculus ,Pex5 ,639,1
306,sp,Q8CAE9,Mus musculus ,Podxl2 ,603,1
307,sp,Q99K51,Mus musculus ,Pls3 ,630,1
308,sp,Q9QUG3,Mus musculus ,Prnd ,179,1
309,sp,Q9DAS4,Mus musculus ,Prl8a8 ,241,2
310,sp,Q61136,Mus musculus ,Prpf4b ,1007,1
311,sp,Q9JM99,Mus musculus ,Prg4 ,1054,1
312,sp,Q99MW3,Mus musculus ,Pramel1 ,458,1
313,sp,P49443,Mus musculus ,Ppm1a ,382,1
314,sp,Q8BU27,Mus musculus ,Ppm1m ,406,2
315,sp,Q8R107,Mus musculus ,Prelid1 ,217,1
316,sp,Q9QZ67,Mus musculus ,Ppm1d ,598,2
317,sp,D3Z4S3,Mus musculus ,Ptrhd1 ,140,1
318,sp,Q8BUM3,Mus musculus ,Ptpn7 ,359,1
319,sp,Q8VDM4,Mus musculus ,Psmd2 ,908,1
320,sp,Q9DB77,Mus musculus ,Uqcrc2 ,453,1
321,sp,Q9CQK3,Mus musculus ,Rdm1 ,281,2
322,sp,Q6P3B9,Mus musculus ,Rbfa ,350,2
323,sp,Q8BH97,Mus musculus ,Rcn3 ,328,1
324,sp,Q8VE37,Mus musculus ,Rcc1 ,421,1
325,sp,P54728,Mus musculus ,Rad23b ,416,1
326,sp,O08674,Mus musculus ,Rbpjl ,515,1
327,sp,Q9D4V7,Mus musculus ,Rabl3 ,236,1
328,sp,P35285,Mus musculus ,Rab22a ,194,1
329,sp,Q8C2Q3,Mus musculus ,Rbm14 ,669,1
330,sp,Q8R4X3,Mus musculus ,Rbm12 ,992,1
331,sp,P62821,Mus musculus ,Rab1A ,205,1
332,sp,Q8K0S5,Mus musculus ,Rtn4rl1 ,445,1
333,sp,A1L3T7,Mus musculus ,Ripor3 ,938,1
334,sp,O55142,Mus musculus ,Rpl35a ,110,1
335,sp,Q80UU2,Mus musculus ,Rpp38 ,280,1
336,sp,Q9D1C9,Mus musculus ,Rrp7a ,280,2
337,sp,P62843,Mus musculus ,Rps15 ,145,1
338,sp,P62855,Mus musculus ,Rps26 ,115,1
339,sp,Q8BU91,Mus musculus ,Slc26a9 ,790,1
340,sp,Q99K95,Mus musculus ,Rtf2 ,307,1
341,sp,Q8BVR6,Mus musculus ,Rspry1 ,576,1
342,sp,Q8C811,Mus musculus ,Slc35e2a ,405,2
343,sp,Q91WC0,Mus musculus ,Setd3 ,594,1
344,sp,Q80UZ2,Mus musculus ,Sdad1 ,687,1
345,sp,Q6QIY3,Mus musculus ,Scn10a ,1958,1
346,sp,Q8VCL2,Mus musculus ,Sco2 ,255,1
347,sp,Q8BHJ6,Mus musculus ,Serinc5 ,461,2
348,sp,O55101,Mus musculus ,Syngr2 ,224,2
349,sp,Q9CYN2,Mus musculus ,Spcs2 ,226,1
350,sp,Q99ME3,Mus musculus ,Sncaip ,962,2
351,sp,Q9CPR7,Mus musculus ,Sike1 ,207,1
352,sp,Q5F289,Mus musculus ,Spem1 ,310,1
353,sp,O09044,Mus musculus ,Snap23 ,210,1
354,sp,Q8K194,Mus musculus ,Snrnp27 ,155,1
355,sp,Q9CXL7,Mus musculus ,Snorc ,121,1
356,sp,P70124,Mus musculus ,Serpinb5 ,375,1
357,sp,Q6P8X1,Mus musculus ,Snx6 ,406,1
358,sp,O35716,Mus musculus ,Socs1 ,212,1
359,sp,Q5SQF8,Mus musculus ,Sap30l ,182,1
360,sp,Q04692,Mus musculus ,Smarcad1 ,1021,1
361,sp,Q04887,Mus musculus ,Sox9 ,507,1
362,sp,Q8R5A0,Mus musculus ,Smyd2 ,433,1
363,sp,Q8K2C6,Mus musculus ,Sirt5 ,310,1
364,sp,A7TZG1,Mus musculus ,Skint10 ,354,2
365,sp,O08641,Mus musculus ,Sh3yl1 ,340,1
366,sp,O54926,Mus musculus ,Siva1 ,175,1
367,sp,Q8BT42,Mus musculus ,Smim5 ,78,4
368,sp,Q8VD33,Mus musculus ,Sgtb ,304,1
369,sp,Q9CU62,Mus musculus ,Smc1a ,1233,1
370,sp,Q9R0P4,Mus musculus ,Smap ,181,1
371,sp,Q8BX46,Mus musculus ,Skor1 ,964,1
372,sp,Q3TS39,Mus musculus ,SMIM33 ,127,2
373,sp,O35961,Mus musculus ,Smr2 ,40,3
374,sp,Q8CA71,Mus musculus ,Shisa4 ,197,1
375,sp,Q9Z2I9,Mus musculus ,Sucla2 ,463,1
376,sp,Q91Z67,Mus musculus ,Srgap2 ,1071,1
377,sp,P56677,Mus musculus ,St14 ,855,1
378,sp,O70576,Mus musculus ,Stag3 ,1240,1
379,sp,O35638,Mus musculus ,Stag2 ,1231,1
380,sp,Q9D5V6,Mus musculus ,Syap1 ,365,1
381,sp,P07214,Mus musculus ,Sparc ,302,1
382,sp,Q6PDM2,Mus musculus ,Srsf1 ,248,1
383,sp,Q99MX1,Mus musculus ,Usp26 ,835,1
384,sp,Q08423,Mus musculus ,Tff1 ,87,2
385,sp,P04202,Mus musculus ,Tgfb1 ,390,1
386,sp,Q2MV57,Mus musculus ,Tctn2 ,700,1
387,sp,P62077,Mus musculus ,Timm8b ,83,1
388,sp,Q99JT6,Mus musculus ,Tlcd1 ,247,2
389,sp,Q64163,Mus musculus ,Tfdp2 ,446,1
390,sp,Q9DA77,Mus musculus ,Tex29 ,186,1
391,sp,Q9D9J2,Mus musculus ,Tex33 ,266,1
392,sp,Q99LG1,Mus musculus ,Tmem51 ,249,1
393,sp,Q9D5K1,Mus musculus ,Tmem81 ,259,2
394,sp,Q8K045,Mus musculus ,Pkn3 ,878,1
395,sp,Q9JM05,Mus musculus ,Pias4 ,507,1
396,sp,P23492,Mus musculus ,Pnp ,289,1
397,sp,Q5K2P8,Mus musculus ,Prss36 ,849,2
398,sp,A3KGF7,Mus musculus ,Plcb2 ,1181,1
399,sp,Q5SUV1,Mus musculus ,Rsad1 ,442,2
400,sp,P62862,Mus musculus ,Fau ,59,1
401,sp,Q9DA80,Mus musculus ,Rsph3b ,389,2
402,sp,Q8R0C3,Mus musculus ,Slc26a8 ,999,2
403,sp,Q9ERH8,Mus musculus ,Slc28a3 ,703,2
404,sp,Q02614,Mus musculus ,Sap30bp ,308,1
405,sp,Q99P65,Mus musculus ,Slc29a3 ,475,1
406,sp,Q32KG4,Mus musculus ,Rtl9 ,1339,2
407,sp,Q8CH36,Mus musculus ,Slc36a4 ,500,2
408,sp,P97816,Mus musculus ,S100g ,79,1
409,sp,Q9Z0U9,Mus musculus ,S1pr3 ,378,2
410,sp,Q91W10,Mus musculus ,Slc39a8 ,462,1
411,sp,Q9QZ03,Mus musculus ,Slc39a1 ,324,2
412,sp,Q9D2R8,Mus musculus ,Mrps33 ,106,1
413,sp,Q99N80,Mus musculus ,Sytl1 ,567,1
414,sp,Q8K0H7,Mus musculus ,Slc45a3 ,553,2
415,sp,Q6P5F6,Mus musculus ,Slc39a10 ,833,1
416,sp,Q9D6X5,Mus musculus ,Slc52a3 ,460,1
417,sp,Q8BWY7,Mus musculus ,Slc39a11 ,342,1
418,sp,Q8BIV7,Mus musculus ,Slc45a1 ,751,1
419,sp,Q9D8V7,Mus musculus ,Sec11c ,192,1
420,sp,Q9JL59,Mus musculus ,Sectm1b ,212,1
421,sp,P60897,Mus musculus ,Sem1 ,70,3
422,sp,Q9QUR8,Mus musculus ,Sema7a ,664,1
423,sp,Q8BH34,Mus musculus ,Sema3d ,777,1
424,sp,P42208,Mus musculus ,Septin2 ,361,1
425,sp,P97299,Mus musculus ,Sfrp2 ,295,1
426,sp,Q8C4U3,Mus musculus ,Sfrp1 ,314,1
427,sp,Q8R3W5,Mus musculus ,Tsen15 ,168,1
428,sp,Q91ZX6,Mus musculus ,Senp2 ,588,1
429,sp,O55131,Mus musculus ,Septin7 ,436,1
430,sp,Q99JL1,Mus musculus ,Spef1 ,234,1
431,sp,Q6AXF6,Mus musculus ,Sidt1 ,827,1
432,sp,Q6IUP1,Mus musculus ,Sohlh1 ,357,1
433,sp,Q62205,Mus musculus ,Scn9a ,1984,1
434,sp,Q6PHS6,Mus musculus ,Snx13 ,957,2
435,sp,Q91YJ2,Mus musculus ,Snx4 ,450,1
436,sp,Q9D7P9,Mus musculus ,Serpinb12 ,423,2
437,sp,Q80ZJ7,Mus musculus ,Snx32 ,404,2
438,sp,Q6PDG5,Mus musculus ,Smarcc2 ,1213,1
439,sp,Q60854,Mus musculus ,Serpinb6 ,378,1
440,sp,Q64674,Mus musculus ,Srm ,302,1
441,sp,Q0P5V2,Mus musculus ,Sobp ,864,1
442,sp,Q9D232,Mus musculus ,Spns3 ,514,2
443,sp,Q8BVK9,Mus musculus ,Sp110 ,445,1
