,Protein Accession,Length,PE Score,#Confirmed Isoforms,In Reference Proteome
100,P19620,339,1,0,1
101,Q52NJ3,198,2,0,1
102,Q6PKU1,270,2,0,1
103,D5K8A2,560,2,0,1
104,Q2HYU2,780,2,0,1
105,P67776,309,2,0,1
106,Q6QAP6,56,1,0,1
107,Q0GFF6,463,2,0,1
108,Q6QA74,163,2,0,1
109,P30879,73,1,0,1
110,P55791,17,1,0,1
111,Q29576,104,1,0,1
112,P15782,79,1,0,1
113,Q5W9D5,341,2,0,1
114,Q70BM6,543,2,0,1
115,Q28999,171,2,0,1
116,Q06AA1,128,2,0,1
117,P34994,369,3,0,1
118,Q06AA3,299,2,0,1
119,P83884,106,1,0,1
120,P01287,44,1,0,1
121,P61013,52,1,0,1
122,Q29099,557,2,0,1
123,Q9XSD4,342,2,0,1
124,P50133,585,1,0,1
125,Q2EN75,90,3,0,1
126,Q2I689,463,2,0,1
127,O02713,554,2,0,1
128,Q863Y7,446,1,0,1
129,O77735,338,2,0,1
130,Q9TSW0,461,3,0,1
131,Q9TSV8,150,3,0,1
132,Q8MJ49,214,2,0,1
133,Q7M329,200,1,0,1
134,Q9N1X4,378,1,0,1
135,Q75ZZ6,262,2,1,1
136,B6CVD7,468,2,0,1
137,Q8WNQ7,522,2,0,1
138,P12309,106,1,0,1
139,Q02110,393,1,0,1
140,P00571,194,1,0,1
141,Q29561,196,1,0,1
142,P0DSO0,129,3,0,1
143,Q8HZJ6,202,2,0,1
144,Q95KL4,87,3,0,1
145,P22298,129,1,0,1
146,Q767M3,1062,3,0,1
147,O02858,359,2,0,1
148,Q4LE88,532,2,0,1
149,P81405,80,1,0,1
150,Q9TV62,1937,2,0,1
151,Q8MI68,750,2,0,1
152,O77668,131,2,0,1
153,Q95242,740,2,0,1
154,O18734,147,1,0,1
155,P67985,128,1,0,1
156,Q6QAT1,69,1,0,1
157,F1SR90,190,2,0,1
158,Q767L9,262,3,0,1
159,Q8SPJ0,213,1,0,1
160,Q9GMB0,608,1,0,1
161,A1XQR9,92,3,0,1
162,O62667,647,2,0,1
163,Q06A98,221,2,0,1
164,P61958,95,3,0,1
165,P20112,300,1,0,1
166,Q9GKQ6,272,2,0,1
167,Q867C0,148,2,0,1
168,Q29195,214,1,0,1
169,O77683,244,2,0,1
170,O02799,864,2,0,1
171,Q9GL50,338,2,0,1
172,C5HGF3,188,2,0,1
173,Q8SPP9,764,1,1,1
174,Q1RPP5,547,2,0,1
175,O97580,425,2,0,1
176,B8Y466,566,2,0,1
177,Q2XVP4,451,1,0,1
178,P56984,99,3,0,1
179,Q29102,142,2,1,1
180,Q5FY69,597,2,0,1
181,O19063,224,2,0,1
182,A5GFY8,533,3,0,1
183,A5A761,322,2,0,1
184,Q29268,118,2,0,1
185,Q5BLZ2,439,2,0,1
186,P62863,59,3,0,1
187,Q06AA5,239,2,0,1
188,P28768,144,2,0,1
189,A5A763,469,2,0,1
190,P28220,158,1,0,1
191,Q95274,44,3,0,1
192,Q56P28,188,2,0,1
193,A4Z6H1,456,2,0,1
194,P01269,115,1,0,1
195,P50121,134,2,0,1
196,P62844,145,1,0,1
197,Q4GWZ2,295,1,0,1
198,P31636,660,2,0,1
199,Q7M2P1,76,1,0,1
200,P56729,62,1,0,1
201,P63317,161,1,0,1
202,P32306,386,2,0,1
203,Q8MIQ9,845,2,0,1
204,Q06AU7,201,2,0,1
205,P17560,402,1,0,1
206,Q8HZV3,768,2,0,1
207,P81649,153,1,0,1
208,Q06AK6,836,2,0,1
209,Q7YS88,151,2,0,1
210,Q2YGT9,284,1,0,1
211,Q29308,136,2,0,1
212,Q5PYH3,198,2,0,1
213,Q0MUU2,86,2,0,1
214,A2TF48,293,2,0,1
215,P19621,26,1,0,1
216,A5PF10,416,3,0,1
217,O79882,175,1,0,1
218,P46405,132,1,0,1
219,P35323,97,2,0,1
220,P00761,231,1,0,1
221,Q6QAT0,135,1,0,1
222,P16225,187,1,0,1
223,P17630,417,1,0,1
224,F1SRI0,140,2,0,1
225,P01224,138,1,0,1
226,Q29384,154,2,0,1
227,Q06AU2,183,2,0,1
228,P80551,20,1,0,1
229,P29258,137,2,0,1
230,A0P8Z5,721,1,0,1
231,Q2HY40,391,2,0,1
232,P53027,165,2,0,1
233,P49666,160,1,0,1
234,P02587,159,1,0,1
235,O62809,444,2,0,1
236,Q29013,478,2,0,1
237,P49932,167,2,0,1
238,Q19PY3,505,2,0,1
239,A0AAS4,418,2,0,1
240,Q29350,82,2,0,1
241,P79335,402,2,0,1
242,Q8SPR7,772,2,0,1
243,Q863Z0,239,2,0,1
244,Q29375,132,2,0,1
245,Q29303,79,2,0,1
246,Q09821,138,1,0,1
247,Q8MI69,123,2,0,1
248,Q29126,144,2,0,1
249,P49811,319,3,0,1
250,Q7YR76,933,2,0,1
251,Q52NJ6,215,2,0,1
252,Q5FZP5,616,2,0,1
253,Q28920,137,2,0,1
254,Q767M0,618,3,0,1
255,P35496,137,1,0,1
256,B9TRX0,131,2,0,1
257,P0DTA4,730,1,0,1
258,D3K5L7,431,2,0,1
259,P32196,149,1,0,1
260,Q29187,101,2,0,1
261,P79291,228,1,0,1
262,P41535,176,1,0,1
263,Q6ITQ4,114,3,0,1
264,Q29087,131,2,0,1
265,P09889,340,1,0,1
266,B8Q0B2,360,2,1,1
267,P00671,124,1,0,1
268,Q2VJ60,838,2,0,1
269,P81608,191,1,0,1
270,Q9GLG4,668,1,0,1
271,Q5MNU5,1279,2,2,1
272,B0FWK4,102,3,0,1
273,P20034,15,1,0,1
274,P49933,149,1,0,1
275,Q9GL01,629,2,0,1
276,Q06A97,276,2,0,1
277,Q52NJ2,205,2,0,1
278,Q06AU3,220,2,0,1
279,Q95276,125,2,0,1
280,Q6SA96,143,1,0,1
281,Q8MK48,547,1,1,1
282,P49927,257,1,0,1
283,Q29205,178,1,0,1
284,A5GFQ0,247,3,0,1
285,Q29201,146,1,0,1
286,D5K8A9,295,1,0,1
287,P26429,605,2,0,1
288,F1S668,200,1,0,1
289,Q29011,537,1,0,1
290,P68005,36,1,0,1
291,Q95M75,458,2,0,1
292,Q29214,318,1,0,1
293,Q29106,623,2,0,1
294,A7WLI0,95,1,0,1
295,Q863T6,554,2,0,1
296,P80310,92,1,0,1
297,P81245,157,1,0,1
298,Q06AU4,259,2,0,1
299,A1XQU3,213,1,0,1
300,Q95281,160,1,0,1
301,P02725,133,1,0,1
302,P02067,147,1,0,1
303,O02734,508,2,0,1
304,E2IUK4,394,2,0,1
305,Q2MJV9,551,2,0,1
306,P01300,65,1,0,1
307,P79897,109,3,0,1
308,P79288,244,2,0,1
309,P58392,724,2,0,1
310,P01232,141,1,0,1
311,Q864R5,620,2,0,1
312,P80552,25,1,0,1
313,Q29052,902,2,0,1
314,Q52N47,266,2,0,1
315,P05207,155,1,0,1
316,O02781,154,3,0,1
317,Q27HK4,317,2,0,1
318,P12021,1150,1,0,1
319,P50131,373,2,1,1
320,P00791,385,1,0,1
321,Q52I78,491,2,0,1
322,P04175,678,1,0,1
323,A2BD05,313,3,0,1
324,P49931,166,2,0,1
325,Q5D891,887,2,0,1
326,P80054,172,1,0,1
327,P80272,90,1,0,1
328,Q03365,559,1,0,1
329,Q29119,32,3,0,1
330,P00998,56,1,0,1
331,Q865K8,350,2,0,1
332,Q29548,531,1,0,1
333,Q5YA25,373,1,0,1
334,Q06AT1,193,2,0,1
335,P26461,97,1,0,1
336,Q8MJS1,861,2,0,1
337,P15175,96,1,0,1
338,P04088,407,1,0,1
339,O77591,277,2,0,1
340,Q764M8,560,2,0,1
341,O02773,659,1,0,1
342,P79379,61,3,0,1
343,Q767L8,2042,3,0,1
344,O02836,382,2,0,1
345,Q95313,174,2,0,1
346,P79385,409,1,0,1
347,P19757,92,2,0,1
348,Q9TV63,1939,2,0,1
349,P02189,154,1,0,1
350,Q2HXW4,600,2,0,1
351,Q28955,311,1,0,1
352,C7EMF5,387,2,0,1
353,Q6QGC0,365,2,0,1
354,Q767K9,925,3,0,1
355,Q9BEC7,319,1,0,1
356,P79386,471,2,0,1
357,Q7YS99,574,1,0,1
358,P51525,228,2,0,1
359,A1XQU9,119,1,0,1
360,Q3YFL6,242,3,0,1
361,P79293,1935,1,0,1
362,A5A779,567,2,0,1
363,Q29277,137,2,0,1
364,P52552,127,2,0,1
365,O62640,358,2,0,1
366,Q29244,102,2,0,1
367,Q64L94,249,2,0,1
368,Q95307,137,2,0,1
369,P63053,128,1,0,1
370,P15466,34,1,0,1
371,A1XQR6,79,3,0,1
372,Q29259,128,2,0,1
373,Q2MJK3,189,2,0,1
374,Q06AU5,226,2,0,1
375,P10775,456,1,0,1
376,O97581,383,2,0,1
377,Q52NJ0,185,2,0,1
378,Q19KI0,460,2,0,1
379,Q29029,502,3,0,1
380,P79376,61,3,0,1
381,Q29077,262,2,0,1
382,Q95250,194,1,0,1
383,P61291,254,2,0,1
384,Q6J1I8,228,1,0,1
385,Q6WZ17,151,2,0,1
386,P08552,455,1,0,1
387,P56632,98,1,0,1
388,O77741,538,2,0,1
389,P27485,201,1,0,1
390,Q29223,117,1,0,1
391,A1XQU7,114,3,0,1
392,P23695,181,1,0,1
393,O18839,427,2,0,1
394,Q003G9,276,2,0,1
395,Q6KEQ9,1117,2,0,1
396,P35495,133,1,0,1
397,P12662,25,1,0,1
398,Q3S853,212,2,0,1
399,P15468,147,1,0,1
400,P67934,126,1,0,1
401,Q3YLA6,248,2,0,1
402,Q06AT3,329,2,0,1
403,P21753,42,1,0,1
404,Q29076,745,2,0,1
405,Q10735,67,1,0,1
406,Q29081,192,1,0,1
407,Q767L1,131,4,0,1
408,A5GFW7,306,3,0,1
409,A1Z623,162,2,0,1
410,Q2IA00,1812,2,0,1
411,P01248,216,1,0,1
412,Q7YRV6,198,2,0,1
413,Q8HXL3,1541,3,0,1
414,P42706,26,1,0,1
415,F1RMN2,226,3,0,1
416,P38160,379,1,0,1
417,P42099,716,2,0,1
418,A5GFT6,1035,3,0,1
419,Q06AA9,147,2,0,1
420,P16708,417,1,0,1
421,Q29419,148,3,0,1
422,E1CHH8,698,2,0,1
423,Q28833,2482,2,0,1
424,A5GFS8,243,3,0,1
425,Q95J46,121,2,1,1
426,Q6RI85,417,2,0,1
427,Q8WNW3,745,2,0,1
428,P00336,334,1,0,1
429,P79280,139,2,0,1
430,Q6JTA8,625,2,0,1
431,Q9TUH9,130,2,0,1
432,Q5ISC6,189,2,0,1
433,Q45FY6,218,2,0,1
434,Q462R2,346,2,0,1
435,O97661,425,2,0,1
436,O19072,328,2,0,1
437,P32194,149,1,0,1
438,Q29078,389,2,0,1
439,Q29095,189,1,0,1
440,P01177,125,1,0,1
441,P02547,549,1,0,1
442,P81271,65,1,0,1
443,P12037,142,1,0,1
444,Q95JB4,77,3,0,1
445,Q9GL51,410,2,0,1
446,Q2L969,267,2,0,1
447,A1XQU1,277,2,0,1
448,Q9BDP6,121,2,0,1
449,Q4PJW2,1440,2,0,1
450,Q6QA76,140,2,0,1
451,P79384,539,1,0,1
452,P79378,61,3,0,1
453,P06867,809,1,0,1
454,P11493,293,2,0,1
455,A5GFX0,194,3,0,1
456,Q9GLL9,226,2,0,1
457,P62901,125,1,0,1
458,P02550,451,1,0,1
459,Q4PLW0,459,2,0,1
460,O46560,322,1,0,1
461,A1YIZ1,451,2,0,1
462,P47787,534,1,0,1
463,Q863I2,529,2,0,1
464,Q29079,420,2,0,1
465,P01214,256,1,0,1
466,P35624,207,2,0,1
467,Q29100,122,1,0,1
468,Q9MZ01,121,2,0,1
469,Q9XSW3,240,1,0,1
470,Q8MJ39,103,3,0,1
471,Q95L04,184,2,0,1
472,P46202,420,2,0,1
473,P79380,61,3,0,1
474,P29804,389,1,0,1
475,Q9XSD9,360,2,1,1
476,P62831,140,1,0,1
477,P62279,107,2,0,1
478,Q19AZ8,623,2,0,1
479,Q9MZ15,294,2,0,1
480,Q75NG9,271,2,0,1
481,O77736,332,2,0,1
482,P14610,26,1,0,1
483,Q2F7Z7,323,2,0,1
484,A0A480VXT9,577,4,0,0
485,A0A480ISX2,419,3,0,0
486,A0A480R468,402,4,0,0
487,F1S5U4,650,1,0,1
488,A0A480XCW7,791,3,0,0
489,A0A480NGE3,721,4,0,0
490,A0A480N9U1,480,3,0,0
491,A0A4X1SNA0,484,3,0,0
492,A0A480DTY2,494,3,0,0
493,A0A287A9C5,237,4,0,1
494,I3LSM2,340,3,0,1
495,A0A4X1VK47,226,4,0,0
496,A0A480UF65,1054,4,0,0
497,A0A481DN55,535,3,0,0
498,A0A480I6A5,701,4,0,0
499,A0A480PJS3,774,4,0,0
500,A0A480J3M1,513,4,0,0
501,F8S321,1144,3,0,1
502,A9LG37,226,3,0,0
503,A0A480ZIP5,482,3,0,0
504,A0A480N661,213,4,0,0
505,A0A480XXN9,691,4,0,0
506,M3UZ42,85,1,0,1
507,A0A480TU25,372,3,0,0
508,A0A480KD78,2568,4,0,0
509,A0A287A8B9,113,4,0,1
510,A0A4X1TK29,1054,3,0,0
511,A0A287B3E9,452,4,0,1
512,A0A480QL73,701,4,0,0
513,A0A480VTJ9,389,4,0,0
514,A0A480VCW6,92,3,0,0
515,A0A480QZE1,483,4,0,0
516,A0A480R9N5,712,4,0,0
517,A0A4X1TLQ1,158,4,0,0
518,A0A480K1Z4,1522,4,0,0
519,A5D9J1,175,1,0,1
520,A0A287AET6,620,4,0,1
521,A0A480XJ82,239,3,0,0
522,A0A287BLM2,646,3,0,1
523,A0A287AL85,454,3,0,1
524,Q9TT71,229,2,0,0
525,A0A481A6K6,778,4,0,0
526,A0A480Z2I5,445,4,0,0
527,A0A480RU63,1023,3,0,0
528,A0A4X1U102,462,3,0,0
529,A0A480HH38,152,4,0,0
530,B2CRH7,460,2,0,0
531,A0A480K008,835,4,0,0
532,Q8HX95,111,2,0,0
533,A0A480PPJ0,294,4,0,0
534,A0A481B4N9,463,4,0,0
535,A0A480NGQ4,115,3,0,0
536,A0A481BMZ3,243,4,0,0
537,A0A480K2S5,376,1,0,1
538,A0A480LSF7,798,4,0,0
539,A0A4X1TYR8,426,3,0,0
540,A0A4X1TT67,362,4,0,0
541,A0A480KZJ2,712,4,0,0
542,A0A480SH59,793,4,0,0
543,A0A287AGN0,450,4,0,1
544,A0A480XEV5,608,3,0,0
545,C6L243,113,4,0,0
546,A0A480PKL1,355,4,0,0
547,A0A5K1UER8,495,2,0,0
548,A0A286ZQ46,262,1,0,1
549,A0A480ZCT1,375,3,0,0
550,A0A286ZRB5,427,3,0,1
551,A5A8Y0,352,1,0,1
552,A0A4X1WBA2,440,3,0,0
553,A0A480TMN2,701,4,0,0
554,A0A480JYL4,432,3,0,0
555,F1SMC3,529,4,0,1
556,F1S487,179,4,0,1
557,A0A480Y8G2,442,3,0,0
558,A0A480PMJ2,189,3,0,0
559,A0A480Y4T8,708,3,0,0
560,A0A481D4E6,240,3,0,0
561,A0A480YSH1,521,4,0,0
562,F1S5J1,1394,1,0,1
563,I3LGH2,363,3,0,1
564,A0A480JGD4,841,4,0,0
565,D6BJT5,216,3,0,0
566,A0A480YN04,343,3,0,0
567,A0A480Z6Q8,1863,3,0,0
568,K9IVP5,1960,2,0,0
569,A0A480IUG3,1062,3,0,0
570,E3VWG5,505,2,0,0
571,A0A4X1VK26,166,3,0,0
572,A0A4X1SVA7,828,3,0,0
573,A0A480VC37,832,4,0,0
574,A0A4X1V7L2,177,3,0,0
575,A0A481C113,373,3,0,0
576,A0A480MHM7,189,3,0,0
577,A0A480HP53,1679,3,0,0
578,A0A480TV79,752,3,0,0
579,A0A480MJN3,572,4,0,0
580,A0A480SK03,380,3,0,0
581,A0A481D5Z3,156,3,0,0
582,D2EAC1,70,4,0,0
583,A0A480XIJ1,562,3,0,0
584,A0A480GQS3,191,4,0,0
585,A0A4X1VPF6,752,4,0,0
586,A0A480X8U5,494,3,0,0
587,A0A481BA85,912,4,0,0
588,G8AC31,56,3,0,0
589,A0A481CMJ6,416,4,0,0
590,A0A286ZZD7,430,1,0,1
591,F1S2E6,1390,3,0,1
592,A0A286ZLC9,1272,4,0,1
593,A0A480IZI7,370,4,0,0
594,A0A287BS18,845,3,0,1
595,A0A287BJ75,817,4,0,1
596,A0A480EQ36,814,4,0,0
597,A0A480DYY0,341,4,0,1
598,A0A481AL49,307,3,0,0
599,A0A480LMV9,414,3,0,0
600,A0A480V946,303,4,0,0
601,A0A287AL41,257,4,0,1
602,B7T157,265,2,0,0
603,A0A287A1M4,323,4,0,1
604,A0A480ZHX6,331,4,0,0
605,A0A480IMX3,440,1,0,1
606,A0A4X1U7L5,385,4,0,0
607,A0A286ZKU7,81,4,0,1
608,A0A4X1WAW0,265,3,0,0
609,A0A481BRG4,320,4,0,0
610,A0A480JZV6,372,4,0,0
611,A0A4X1TB48,537,3,0,0
612,A0A4X1TW46,397,3,0,0
613,A0A481DUU4,327,4,0,0
614,A0A480L3N4,183,4,0,0
615,A0A480Y8S6,456,4,0,0
616,A0A4X1U2W5,475,3,0,0
617,A0A480VVF2,452,3,0,0
618,A0A480F173,508,4,0,0
619,A0A480PNQ3,578,4,0,0
620,A0A480L1J2,459,4,0,0
621,A0A480HD67,491,3,0,0
622,A0A480QTW9,538,3,0,0
623,A0A4X1STY3,267,4,0,0
624,A0A480UF13,438,4,0,0
625,A0A286ZMT3,654,1,0,1
626,A0A480KKH4,522,1,0,1
627,A0A481D9X1,262,4,0,0
628,A0A480VKD6,353,3,0,0
629,I3LLL1,209,4,0,1
630,A0A4X1ULN6,1469,3,0,0
631,A0A480M2T4,231,1,0,1
632,A0A4X1TID7,359,3,0,0
633,A0A480YMB8,451,3,0,0
634,A0A480YY68,299,4,0,0
635,A0A480KXA1,1656,1,0,1
636,A0A481B4V4,393,4,0,0
637,A0A480K8H1,602,4,0,0
638,A0A480SY14,1541,3,0,0
639,A0A480DL67,721,4,0,0
640,A0A4X1VR79,202,4,0,0
641,A0A480K3I3,889,3,0,0
642,A0A4X1UN16,247,3,0,0
643,A0A480SGH9,371,4,0,0
644,F1SR30,247,4,0,1
645,A0A287B9W4,703,4,0,1
646,A0A4X1V5V2,578,3,0,0
647,A0A480X0X9,676,3,0,0
648,A0A480WZY0,303,3,0,0
649,A0A4X1T943,363,4,0,0
650,A0A480NAJ2,491,3,0,0
651,A0A480YZU7,513,4,0,0
652,A0A4X1VIW2,624,4,0,0
653,A0A480HYI4,3210,3,0,0
654,A0A480JQJ6,266,3,0,0
655,A0A480HM42,1153,4,0,0
656,A0A4X1SFV6,262,3,0,0
657,A0A4X1V4S7,260,4,0,0
658,A0A4X1UGE7,759,4,0,0
659,A0A480FVK4,230,4,0,0
660,A0A286ZNH3,137,1,0,1
661,Q860P4,255,2,0,0
662,A0A480SFZ7,499,4,0,0
663,A0A4X1VAA3,765,3,0,0
664,J9SVJ5,131,2,0,0
665,A0A480ZSR0,543,4,0,0
666,A0A480MS76,635,3,0,0
667,A0A480VCX7,165,4,0,0
668,A0A4X1TIR1,428,3,0,0
669,A0A480UH16,531,4,0,0
670,A0A287AXN4,123,4,0,1
671,A0A480MHS5,347,3,0,0
672,A0A480V470,1991,3,0,0
673,A0A480J1R6,212,4,0,0
674,A0A481C573,542,3,0,0
675,A0A480WBQ0,350,4,0,0
676,A0A480ICH9,636,4,0,0
677,A0A480X0B9,441,4,0,0
678,A0A6M3S5I3,58,4,0,0
679,A0A480YY24,178,3,0,0
680,A0A480X9F8,353,3,0,0
681,A0A287BCD8,322,4,0,1
682,A0A480PS24,468,4,0,0
683,A0A4X1TCS7,219,3,0,0
684,A0A480KLE5,851,4,0,0
685,A0A286ZL61,1067,1,0,1
686,A0A480MLW0,557,4,0,0
687,A0A480Y2I9,332,3,0,0
688,A0A480WD29,148,4,0,0
689,A0A480ILM5,172,4,0,0
690,A0A480PGH3,727,4,0,0
691,A0A480MCK5,412,4,0,0
692,A0A480VGR8,755,3,0,0
693,H8Y100,152,2,0,1
694,A0A287BKL1,356,1,0,1
695,A0A4X1V080,419,4,0,0
696,A0A480V655,128,4,0,0
697,A0A480XVU0,808,3,0,0
698,A0A481DBP2,362,4,0,0
699,A0A480EJB5,648,4,0,0
700,A0A4X1SUI4,85,3,0,0
701,A0A480UGK3,547,4,0,0
702,A0A480XJU4,429,4,0,0
703,A0A4X1W2S3,246,4,0,0
704,A4H2R3,111,4,0,0
705,Q8MGQ2,266,2,0,0
706,A0A480W0V6,523,4,0,0
707,A0A480YF27,4412,3,0,0
708,A0A286ZVB7,201,3,0,1
709,A0A480QWK9,804,4,0,0
710,A0A480K168,287,4,0,1
711,A0A4X1TLF4,583,3,0,0
712,A0A481CHV0,277,4,0,0
713,A0A4X1TZI9,142,4,0,0
714,A0A480QLR1,699,4,0,0
715,A0A480MCR0,634,4,0,0
716,A0A480IPA9,461,4,0,0
717,G9BFS6,147,2,0,0
718,A0A481CGV8,459,4,0,0
719,E7BYE6,261,2,0,1
720,A0A4X1TCI2,121,3,0,0
721,A0A481CQ75,133,4,0,0
722,A0A480MF24,258,4,0,0
723,A0A287B0L2,178,3,0,1
724,A0A480U9X2,488,4,0,0
725,A1YH97,361,2,0,0
726,A0A480TEL9,302,3,0,0
727,A0A480X6D3,333,3,0,0
728,A0A481CB93,241,3,0,0
729,A0A481CVC9,237,1,0,1
730,A0A480PPA0,319,3,0,0
731,A0A287A4E1,423,1,0,1
732,A0A286ZYI7,1163,3,0,1
733,A0A480W4F5,357,4,0,0
734,A0A480FU19,94,4,0,0
735,A0A481B1I0,720,4,0,0
736,A0A480W744,99,4,0,0
737,A0A480J3W3,311,4,0,0
738,A0A480PNM6,126,3,0,0
739,A0A480ZW68,201,4,0,0
740,A0A287A310,408,1,0,1
741,A0A480M363,1989,4,0,0
742,A0A480L9S3,513,3,0,0
743,A0A480EZL3,2131,4,0,0
744,A0A480ES98,788,3,0,0
745,A0A4X1W2D6,211,4,0,0
746,A0A480MGH2,761,4,0,0
747,A9LNN4,29,4,0,0
748,A0A4X1VJ28,320,3,0,0
749,H2B2M1,119,4,0,0
750,A0A4X1VHS0,674,4,0,0
751,A0A4X1V2G0,1026,4,0,0
752,A0A480TLF3,1241,4,0,0
753,A0A480LFZ4,621,4,0,0
754,F1RS02,588,3,0,1
755,A0A480IJD1,4531,4,0,0
756,A0A1Z1VUJ8,183,2,0,0
757,A0A480RXS2,576,4,0,0
758,A0A286ZWX7,442,4,0,1
759,A0A4X1W670,496,3,0,0
760,A0A480V5U9,180,3,0,0
761,A0A480E2U1,1190,4,0,0
762,A0A4X1VBG0,186,3,0,0
763,A0A481AII0,965,4,0,0
764,A0A480WDG6,313,4,0,0
765,A0A480WGC8,651,4,0,0
766,A0A480TJA4,500,3,0,0
767,A0A480Y309,727,4,0,0
768,A0A480K943,513,3,0,0
769,A0A480VGT6,267,3,0,0
770,A0A286ZZW1,509,3,0,1
771,A0A4X1UXN3,828,3,0,0
772,A0A480QKX0,403,3,0,0
773,A0A0H4ITY0,391,2,0,0
774,A0A480SH46,1180,4,0,0
775,A0A480KDA6,904,4,0,0
776,A0A480J284,2073,4,0,0
777,A0A480NLP9,211,3,0,0
778,A0A480VIN5,523,3,0,0
779,A0A480PI87,321,3,0,0
780,A0A480LDR9,647,3,0,0
781,A0A286ZYK3,422,4,0,1
782,A0A4X1UYW0,326,3,0,0
783,A0A480FWX8,102,4,0,0
784,A0A480SAF2,277,3,0,0
785,A0A481D2Z8,285,3,0,0
786,A0A480UGD5,310,3,0,0
787,Q70KG9,8,4,0,0
788,A0A4X1SHC9,731,4,0,0
789,A0A4X1STF8,1086,3,0,0
790,A0A287BE61,183,3,0,1
791,A0A480ZQW6,365,4,0,0
792,A0A287A2N6,680,1,0,1
793,A0A287B6F7,729,4,0,1
794,A0A287BIG9,238,4,0,1
795,A0A480Y074,734,4,0,0
796,A0A480ZTJ4,203,4,0,0
797,A0A4X1UW90,1704,4,0,0
798,A0A480WXS2,220,4,0,0
799,A0A480VZD9,218,3,0,0
800,A0A480P9Y4,299,3,0,0
801,A0A481C3R3,244,4,0,0
802,A0A481D0B7,563,4,0,0
803,A0A287BKL0,762,4,0,1
804,A0A286ZLH5,825,3,0,1
805,A0A480XA80,128,4,0,0
806,A0A4X1T3I7,569,4,0,0
807,A0A287AG10,477,2,0,1
808,A0A480VP53,431,3,0,0
809,A0A287AD79,443,1,0,1
810,A0A287AY08,334,4,0,1
811,A0A480RVL4,382,3,0,0
812,A0A480TX94,630,4,0,0
813,A0A480TEN7,652,3,0,0
814,A0A480PS68,355,4,0,0
815,A0A287AZ30,171,4,0,1
