,sptr,accession,organism,GN,length
123,sp,A7XUX6,Mus musculus ,Skint2 ,400
124,sp,A7XUY5,Mus musculus ,Skint5 ,1461
125,sp,Q8CG47,Mus musculus ,Smc4 ,1286
126,sp,Q60520,Mus musculus ,Sin3a ,1274
127,sp,Q8R4Y4,Mus musculus ,Stab1 ,2571
128,sp,Q8C624,Mus musculus ,Spata33 ,132
129,sp,Q91WJ7,Mus musculus ,Spats2l ,558
130,sp,P84104,Mus musculus ,Srsf3 ,164
131,sp,P55821,Mus musculus ,Stmn2 ,179
132,sp,A2ACP1,Mus musculus ,Ttc39a ,578
133,sp,P62915,Mus musculus ,Gtf2b ,316
134,sp,Q8K1H1,Mus musculus ,Tdrd7 ,1086
135,sp,Q4JK59,Mus musculus ,Tet2 ,1912
136,sp,Q80UF7,Mus musculus ,Ticam1 ,732
137,sp,P10711,Mus musculus ,Tcea1 ,301
138,sp,Q9D3P1,Mus musculus ,Tchhl1 ,638
139,sp,P80317,Mus musculus ,Cct6a ,531
140,sp,Q60610,Mus musculus ,Tiam1 ,1591
141,sp,Q8BJ25,Mus musculus ,Thap3 ,218
142,sp,Q9WTS4,Mus musculus ,Tenm1 ,2731
143,sp,Q80YX1,Mus musculus ,Tnc ,2110
144,sp,O70281,Mus musculus ,Tpst1 ,370
145,sp,Q9D702,Mus musculus ,Tmem52 ,196
146,sp,A2ASS6,Mus musculus ,Ttn ,35213
147,sp,Q8BXJ9,Mus musculus ,Tmem62 ,643
148,sp,Q91WU4,Mus musculus ,Tmco4 ,631
149,sp,Q9ER39,Mus musculus ,Tor1a ,333
150,sp,Q61471,Mus musculus ,Tob1 ,362
151,sp,Q3V0Q7,Mus musculus ,Tmprss12 ,336
152,sp,Q922B6,Mus musculus ,Traf7 ,594
153,sp,Q9D777,Mus musculus ,Tnfsf13 ,241
154,sp,Q9Z0L0,Mus musculus ,Tpbg ,426
155,sp,Q7TS55,Mus musculus ,Tnfsf18 ,173
156,sp,Q8CHQ6,Mus musculus ,Tmem125 ,216
157,sp,Q6ZPK0,Mus musculus ,Phf21a ,688
158,sp,P80206,Mus musculus ,Otx2 ,289
159,sp,Q6P1Z5,Mus musculus ,Pced1a ,449
160,sp,P08399,Mus musculus ,Phxr5 ,672
161,sp,Q8BST6,Mus musculus ,Peli2 ,419
162,sp,Q9Z126,Mus musculus ,Pf4 ,105
163,sp,Q9WVS6,Mus musculus ,Prkn ,464
164,sp,A2AJ77,Mus musculus ,Prdm12 ,365
165,sp,Q14C51,Mus musculus ,Ptcd3 ,685
166,sp,Q64434,Mus musculus ,Ptk6 ,451
167,sp,Q9CWH6,Mus musculus ,Psma8 ,250
168,sp,Q8BHS3,Mus musculus ,Rbm22 ,420
169,sp,Q8BP92,Mus musculus ,Rcn2 ,320
170,sp,Q91YE7,Mus musculus ,Rbm5 ,815
171,sp,Q3TIR3,Mus musculus ,Ric8a ,530
172,sp,P63011,Mus musculus ,Rab3a ,220
173,sp,Q8K3A4,Mus musculus ,Rhno1 ,235
174,sp,Q08652,Mus musculus ,Rbp2 ,134
175,sp,Q61493,Mus musculus ,Rev3l ,3122
176,sp,E9Q6X9,Mus musculus ,Arhgap40 ,672
177,sp,Q8C0D4,Mus musculus ,Arhgap12 ,838
178,sp,Q8K4Q0,Mus musculus ,Rptor ,1335
179,sp,Q9WVL3,Mus musculus ,Slc12a7 ,1083
180,sp,Q6A4L0,Mus musculus ,Slc22a13 ,551
181,sp,Q05A13,Mus musculus ,Sdr16c6 ,316
182,sp,Q9D687,Mus musculus ,Slc6a19 ,634
183,sp,Q9CY86,Mus musculus ,Sapcd1 ,146
184,sp,Q91XT4,Mus musculus ,Sec16b ,1051
185,sp,Q61009,Mus musculus ,Scarb1 ,509
186,sp,Q60710,Mus musculus ,Samhd1 ,658
187,sp,Q5FWI2,Mus musculus ,Sctr ,447
188,sp,Q9CQX8,Mus musculus ,Mrps36 ,102
189,sp,Q5XJV7,Mus musculus ,Setd5 ,1441
190,sp,P70275,Mus musculus ,Sema3e ,775
191,sp,O08665,Mus musculus ,Sema3a ,772
192,sp,Q64151,Mus musculus ,Sema4c ,834
193,sp,Q9DCT5,Mus musculus ,Sdf2 ,211
194,sp,P40224,Mus musculus ,Cxcl12 ,93
195,sp,Q9WUH7,Mus musculus ,Sema4g ,837
196,sp,P61620,Mus musculus ,Sec61a1 ,476
197,sp,Q61753,Mus musculus ,Phgdh ,533
198,sp,Q62203,Mus musculus ,Sf3a2 ,475
199,sp,Q61180,Mus musculus ,Scnn1a ,699
200,sp,Q3V0Q6,Mus musculus ,Spag8 ,470
201,sp,Q9D3S3,Mus musculus ,Snx29 ,818
202,sp,Q9D287,Mus musculus ,Bcas2 ,225
203,sp,O55100,Mus musculus ,Syngr1 ,234
204,sp,Q8R570,Mus musculus ,Snap47 ,413
205,sp,Q810B9,Mus musculus ,Slitrk3 ,980
206,sp,Q9D2H6,Mus musculus ,Sp2 ,612
207,sp,P60041,Mus musculus ,Sst ,116
208,sp,Q8BHJ9,Mus musculus ,Slu7 ,585
209,sp,P07759,Mus musculus ,Serpina3k ,418
210,sp,Q9WUZ7,Mus musculus ,Sh3bgr ,214
211,sp,Q9WVC6,Mus musculus ,Sgk1 ,431
212,sp,P53783,Mus musculus ,Sox1 ,391
213,sp,Q3TKT4,Mus musculus ,Smarca4 ,1613
214,sp,A2ALV5,Mus musculus ,Shoc1 ,1481
215,sp,P62315,Mus musculus ,Snrpd1 ,119
216,sp,A7XV07,Mus musculus ,Skint8 ,398
217,sp,Q8K190,Mus musculus ,Saysd1 ,188
218,sp,P97471,Mus musculus ,Smad4 ,551
219,sp,E9Q6E9,Mus musculus ,Simc1 ,1354
220,sp,Q8C3Q5,Mus musculus ,Shisa7 ,558
221,sp,Q920F6,Mus musculus ,Smc1b ,1248
222,sp,A7M7C7,Mus musculus ,Skor2 ,1008
223,sp,Q8C0X8,Mus musculus ,,640
224,sp,P97801,Mus musculus ,Smn1 ,288
225,sp,Q9DAG5,Mus musculus ,Stpg4 ,247
226,sp,Q60770,Mus musculus ,Stxbp3 ,592
227,sp,P05480,Mus musculus ,Src ,535
228,sp,Q8BG54,Mus musculus ,Sptlc3 ,563
229,sp,Q9JLY0,Mus musculus ,Socs6 ,533
230,sp,Q5DQR4,Mus musculus ,Stxbp5l ,1185
231,sp,Q9JKK1,Mus musculus ,Stx6 ,255
232,sp,Q99JT2,Mus musculus ,Stk26 ,416
233,sp,O88838,Mus musculus ,Spsb2 ,264
234,sp,P61957,Mus musculus ,Sumo2 ,95
235,sp,Q8C0C7,Mus musculus ,Farsa ,508
236,sp,Q8VCK7,Mus musculus ,Sycn ,134
237,sp,Q6IEE6,Mus musculus ,Tmem132e ,1074
238,sp,Q3THK3,Mus musculus ,Gtf2f1 ,508
239,sp,Q4VBD2,Mus musculus ,Tapt1 ,564
240,sp,Q62264,Mus musculus ,Thrsp ,150
241,sp,P70271,Mus musculus ,Pdlim4 ,330
242,sp,Q99PV0,Mus musculus ,Prpf8 ,2335
243,sp,P33587,Mus musculus ,Proc ,460
244,sp,P09242,Mus musculus ,Alpl ,524
245,sp,Q52KR3,Mus musculus ,Prune2 ,3084
246,sp,Q80TL0,Mus musculus ,Ppm1e ,749
247,sp,Q8BRJ4,Mus musculus ,Ppp1r3e ,279
248,sp,P61014,Mus musculus ,Pln ,52
249,sp,Q9JIG4,Mus musculus ,Ppp1r3f ,799
250,sp,Q8BKG3,Mus musculus ,Ptk7 ,1062
251,sp,Q920S2,Mus musculus ,Prss41 ,322
252,sp,Q91V95,Mus musculus ,Pth2r ,546
253,sp,P0C5E4,Mus musculus ,Ptprq ,2300
254,sp,Q9R1Z7,Mus musculus ,Pts ,144
255,sp,Q05909,Mus musculus ,Ptprg ,1442
256,sp,Q9WV02,Mus musculus ,Rbmx ,391
257,sp,P62965,Mus musculus ,Crabp1 ,137
258,sp,P18911,Mus musculus ,Rarg ,458
259,sp,Q99P86,Mus musculus ,Retnlb ,105
260,sp,Q8R367,Mus musculus ,Rerg ,199
261,sp,Q6NS82,Mus musculus ,Retreg2 ,541
262,sp,Q8CGF1,Mus musculus ,Arhgap29 ,1266
263,sp,P27671,Mus musculus ,Rasgrf1 ,1262
264,sp,Q7TQP4,Mus musculus ,Rxfp4 ,414
265,sp,P27659,Mus musculus ,Rpl3 ,403
266,sp,P47968,Mus musculus ,Rpia ,303
267,sp,Q9D4G9,Mus musculus ,Rmi1 ,616
268,sp,Q9DBG6,Mus musculus ,Rpn2 ,631
269,sp,Q9CQN7,Mus musculus ,Mrpl41 ,135
270,sp,Q7M747,Mus musculus ,Scgb2b24 ,112
271,sp,Q8CD26,Mus musculus ,Slc35e1 ,409
272,sp,Q9Z132,Mus musculus ,Rspo1 ,265
273,sp,A2AKQ0,Mus musculus ,Slc35d1 ,355
274,sp,Q60648,Mus musculus ,Gm2a ,193
275,sp,Q8C1C1,Mus musculus ,Psapl1 ,522
276,sp,Q6GQS1,Mus musculus ,Slc25a23 ,467
277,sp,Q9CQD6,Mus musculus ,Sln ,31
278,sp,Q8VEB2,Mus musculus ,Sav1 ,386
279,sp,P17563,Mus musculus ,Selenbp1 ,472
280,sp,Q9EQU5,Mus musculus ,Set ,289
281,sp,O35464,Mus musculus ,Sema6a ,1031
282,sp,P18828,Mus musculus ,Sdc1 ,311
283,sp,Q5U4C3,Mus musculus ,Scaf1 ,1256
284,sp,Q80UJ9,Mus musculus ,Setmar ,309
285,sp,Q91WD9,Mus musculus ,Scgn ,276
286,sp,Q8R2U0,Mus musculus ,Seh1l ,360
287,sp,Q9JLZ8,Mus musculus ,Sigirr ,409
288,sp,Q70E20,Mus musculus ,Sned1 ,1403
289,sp,Q8BGQ1,Mus musculus ,Vipas39 ,491
290,sp,Q99LZ3,Mus musculus ,Gins4 ,223
291,sp,P60879,Mus musculus ,Snap25 ,206
292,sp,Q8BGD4,Mus musculus ,Slco4c1 ,722
293,sp,Q9WUV2,Mus musculus ,St6galnac3 ,305
294,sp,Q06985,Mus musculus ,Siah1b ,282
295,sp,Q76K27,Mus musculus ,St6gal2 ,524
296,sp,Q9CPV1,Mus musculus ,Ska1 ,254
297,sp,Q6PGB8,Mus musculus ,Smarca1 ,1046
298,sp,Q3UPR0,Mus musculus ,Shisa3 ,238
299,sp,Q3V0X1,Mus musculus ,Smim9 ,137
300,sp,Q61045,Mus musculus ,Sim1 ,765
301,sp,Q80TY4,Mus musculus ,St18 ,1045
302,sp,B2RQL2,Mus musculus ,Stox1 ,990
303,sp,Q9DBQ9,Mus musculus ,Swt1 ,907
304,sp,P97363,Mus musculus ,Sptlc2 ,560
305,sp,O09012,Mus musculus ,Pex5 ,639
306,sp,Q8CAE9,Mus musculus ,Podxl2 ,603
307,sp,Q99K51,Mus musculus ,Pls3 ,630
308,sp,Q9QUG3,Mus musculus ,Prnd ,179
309,sp,Q9DAS4,Mus musculus ,Prl8a8 ,241
310,sp,Q61136,Mus musculus ,Prpf4b ,1007
311,sp,Q9JM99,Mus musculus ,Prg4 ,1054
312,sp,Q99MW3,Mus musculus ,Pramel1 ,458
313,sp,P49443,Mus musculus ,Ppm1a ,382
314,sp,Q8BU27,Mus musculus ,Ppm1m ,406
315,sp,Q8R107,Mus musculus ,Prelid1 ,217
316,sp,Q9QZ67,Mus musculus ,Ppm1d ,598
317,sp,D3Z4S3,Mus musculus ,Ptrhd1 ,140
318,sp,Q8BUM3,Mus musculus ,Ptpn7 ,359
319,sp,Q8VDM4,Mus musculus ,Psmd2 ,908
320,sp,Q9DB77,Mus musculus ,Uqcrc2 ,453
321,sp,Q9CQK3,Mus musculus ,Rdm1 ,281
322,sp,Q6P3B9,Mus musculus ,Rbfa ,350
323,sp,Q8BH97,Mus musculus ,Rcn3 ,328
324,sp,Q8VE37,Mus musculus ,Rcc1 ,421
325,sp,P54728,Mus musculus ,Rad23b ,416
326,sp,O08674,Mus musculus ,Rbpjl ,515
327,sp,Q9D4V7,Mus musculus ,Rabl3 ,236
328,sp,P35285,Mus musculus ,Rab22a ,194
329,sp,Q8C2Q3,Mus musculus ,Rbm14 ,669
330,sp,Q8R4X3,Mus musculus ,Rbm12 ,992
331,sp,P62821,Mus musculus ,Rab1A ,205
332,sp,Q8K0S5,Mus musculus ,Rtn4rl1 ,445
333,sp,A1L3T7,Mus musculus ,Ripor3 ,938
334,sp,O55142,Mus musculus ,Rpl35a ,110
335,sp,Q80UU2,Mus musculus ,Rpp38 ,280
336,sp,Q9D1C9,Mus musculus ,Rrp7a ,280
337,sp,P62843,Mus musculus ,Rps15 ,145
338,sp,P62855,Mus musculus ,Rps26 ,115
339,sp,Q8BU91,Mus musculus ,Slc26a9 ,790
340,sp,Q99K95,Mus musculus ,Rtf2 ,307
341,sp,Q8BVR6,Mus musculus ,Rspry1 ,576
342,sp,Q8C811,Mus musculus ,Slc35e2a ,405
343,sp,Q91WC0,Mus musculus ,Setd3 ,594
344,sp,Q80UZ2,Mus musculus ,Sdad1 ,687
345,sp,Q6QIY3,Mus musculus ,Scn10a ,1958
346,sp,Q8VCL2,Mus musculus ,Sco2 ,255
347,sp,Q8BHJ6,Mus musculus ,Serinc5 ,461
348,sp,O55101,Mus musculus ,Syngr2 ,224
349,sp,Q9CYN2,Mus musculus ,Spcs2 ,226
350,sp,Q99ME3,Mus musculus ,Sncaip ,962
351,sp,Q9CPR7,Mus musculus ,Sike1 ,207
352,sp,Q5F289,Mus musculus ,Spem1 ,310
353,sp,O09044,Mus musculus ,Snap23 ,210
354,sp,Q8K194,Mus musculus ,Snrnp27 ,155
355,sp,Q9CXL7,Mus musculus ,Snorc ,121
356,sp,P70124,Mus musculus ,Serpinb5 ,375
357,sp,Q6P8X1,Mus musculus ,Snx6 ,406
358,sp,O35716,Mus musculus ,Socs1 ,212
359,sp,Q5SQF8,Mus musculus ,Sap30l ,182
360,sp,Q04692,Mus musculus ,Smarcad1 ,1021
361,sp,Q04887,Mus musculus ,Sox9 ,507
362,sp,Q8R5A0,Mus musculus ,Smyd2 ,433
363,sp,Q8K2C6,Mus musculus ,Sirt5 ,310
364,sp,A7TZG1,Mus musculus ,Skint10 ,354
365,sp,O08641,Mus musculus ,Sh3yl1 ,340
366,sp,O54926,Mus musculus ,Siva1 ,175
367,sp,Q8BT42,Mus musculus ,Smim5 ,78
368,sp,Q8VD33,Mus musculus ,Sgtb ,304
369,sp,Q9CU62,Mus musculus ,Smc1a ,1233
370,sp,Q9R0P4,Mus musculus ,Smap ,181
371,sp,Q8BX46,Mus musculus ,Skor1 ,964
372,sp,Q3TS39,Mus musculus ,SMIM33 ,127
373,sp,O35961,Mus musculus ,Smr2 ,40
374,sp,Q8CA71,Mus musculus ,Shisa4 ,197
375,sp,Q9Z2I9,Mus musculus ,Sucla2 ,463
376,sp,Q91Z67,Mus musculus ,Srgap2 ,1071
377,sp,P56677,Mus musculus ,St14 ,855
378,sp,O70576,Mus musculus ,Stag3 ,1240
379,sp,O35638,Mus musculus ,Stag2 ,1231
380,sp,Q9D5V6,Mus musculus ,Syap1 ,365
381,sp,P07214,Mus musculus ,Sparc ,302
382,sp,Q6PDM2,Mus musculus ,Srsf1 ,248
383,sp,Q99MX1,Mus musculus ,Usp26 ,835
384,sp,Q08423,Mus musculus ,Tff1 ,87
385,sp,P04202,Mus musculus ,Tgfb1 ,390
386,sp,Q2MV57,Mus musculus ,Tctn2 ,700
387,sp,P62077,Mus musculus ,Timm8b ,83
388,sp,Q99JT6,Mus musculus ,Tlcd1 ,247
389,sp,Q64163,Mus musculus ,Tfdp2 ,446
390,sp,Q9DA77,Mus musculus ,Tex29 ,186
391,sp,Q9D9J2,Mus musculus ,Tex33 ,266
392,sp,Q99LG1,Mus musculus ,Tmem51 ,249
393,sp,Q9D5K1,Mus musculus ,Tmem81 ,259
394,sp,Q8K045,Mus musculus ,Pkn3 ,878
395,sp,Q9JM05,Mus musculus ,Pias4 ,507
396,sp,P23492,Mus musculus ,Pnp ,289
397,sp,Q5K2P8,Mus musculus ,Prss36 ,849
398,sp,A3KGF7,Mus musculus ,Plcb2 ,1181
399,sp,Q5SUV1,Mus musculus ,Rsad1 ,442
400,sp,P62862,Mus musculus ,Fau ,59
401,sp,Q9DA80,Mus musculus ,Rsph3b ,389
402,sp,Q8R0C3,Mus musculus ,Slc26a8 ,999
403,sp,Q9ERH8,Mus musculus ,Slc28a3 ,703
404,sp,Q02614,Mus musculus ,Sap30bp ,308
405,sp,Q99P65,Mus musculus ,Slc29a3 ,475
406,sp,Q32KG4,Mus musculus ,Rtl9 ,1339
407,sp,Q8CH36,Mus musculus ,Slc36a4 ,500
408,sp,P97816,Mus musculus ,S100g ,79
409,sp,Q9Z0U9,Mus musculus ,S1pr3 ,378
410,sp,Q91W10,Mus musculus ,Slc39a8 ,462
411,sp,Q9QZ03,Mus musculus ,Slc39a1 ,324
412,sp,Q9D2R8,Mus musculus ,Mrps33 ,106
413,sp,Q99N80,Mus musculus ,Sytl1 ,567
414,sp,Q8K0H7,Mus musculus ,Slc45a3 ,553
415,sp,Q6P5F6,Mus musculus ,Slc39a10 ,833
416,sp,Q9D6X5,Mus musculus ,Slc52a3 ,460
417,sp,Q8BWY7,Mus musculus ,Slc39a11 ,342
418,sp,Q8BIV7,Mus musculus ,Slc45a1 ,751
419,sp,Q9D8V7,Mus musculus ,Sec11c ,192
420,sp,Q9JL59,Mus musculus ,Sectm1b ,212
421,sp,P60897,Mus musculus ,Sem1 ,70
422,sp,Q9QUR8,Mus musculus ,Sema7a ,664
423,sp,Q8BH34,Mus musculus ,Sema3d ,777
424,sp,P42208,Mus musculus ,Septin2 ,361
425,sp,P97299,Mus musculus ,Sfrp2 ,295
426,sp,Q8C4U3,Mus musculus ,Sfrp1 ,314
427,sp,Q8R3W5,Mus musculus ,Tsen15 ,168
428,sp,Q91ZX6,Mus musculus ,Senp2 ,588
429,sp,O55131,Mus musculus ,Septin7 ,436
430,sp,Q99JL1,Mus musculus ,Spef1 ,234
431,sp,Q6AXF6,Mus musculus ,Sidt1 ,827
432,sp,Q6IUP1,Mus musculus ,Sohlh1 ,357
433,sp,Q62205,Mus musculus ,Scn9a ,1984
434,sp,Q6PHS6,Mus musculus ,Snx13 ,957
435,sp,Q91YJ2,Mus musculus ,Snx4 ,450
436,sp,Q9D7P9,Mus musculus ,Serpinb12 ,423
437,sp,Q80ZJ7,Mus musculus ,Snx32 ,404
438,sp,Q6PDG5,Mus musculus ,Smarcc2 ,1213
439,sp,Q60854,Mus musculus ,Serpinb6 ,378
440,sp,Q64674,Mus musculus ,Srm ,302
441,sp,Q0P5V2,Mus musculus ,Sobp ,864
442,sp,Q9D232,Mus musculus ,Spns3 ,514
443,sp,Q8BVK9,Mus musculus ,Sp110 ,445
444,sp,P17433,Mus musculus ,Spi1 ,272
445,sp,Q921U8,Mus musculus ,Smtn ,923
446,sp,A2A5Z6,Mus musculus ,Smurf2 ,748
447,sp,Q9CZV2,Mus musculus ,Shld3 ,255
448,sp,Q8BX51,Mus musculus ,Sgcz ,311
449,sp,Q6P5D8,Mus musculus ,Smchd1 ,2007
450,sp,Q62231,Mus musculus ,Six1 ,284
451,sp,Q80YR3,Mus musculus ,Skida1 ,822
452,sp,Q9D7V1,Mus musculus ,Sh2d4a ,421
453,sp,Q62141,Mus musculus ,Sin3b ,1098
454,sp,Q8VE18,Mus musculus ,Smg8 ,991
455,sp,Q8CG46,Mus musculus ,Smc5 ,1101
456,sp,A2AQ25,Mus musculus ,Skt ,1946
457,sp,P30873,Mus musculus ,Sstr1 ,391
458,sp,Q64324,Mus musculus ,Stxbp2 ,593
459,sp,Q6A028,Mus musculus ,Swap70 ,585
460,sp,P16254,Mus musculus ,Srp14 ,110
461,sp,Q8R3F9,Mus musculus ,Tut1 ,869
462,sp,O88452,Mus musculus ,Stc2 ,296
463,sp,Q3TBT3,Mus musculus ,Sting1 ,378
464,sp,Q9Z108,Mus musculus ,Stau1 ,487
465,sp,Q62267,Mus musculus ,Sprr1b ,153
466,sp,Q99MR6,Mus musculus ,Srrt ,875
467,sp,O88935,Mus musculus ,Syn1 ,706
468,sp,Q8BGN8,Mus musculus ,Synpr ,265
469,sp,Q64332,Mus musculus ,Syn2 ,586
470,sp,P26638,Mus musculus ,Sars1 ,512
471,sp,Q8CFU8,Mus musculus ,Tp53inp2 ,221
472,sp,G5E8Z2,Mus musculus ,Taf4b ,850
473,sp,Q8CIV8,Mus musculus ,Tbce ,524
474,sp,Q6GQT5,Mus musculus ,Tmem151a ,468
475,sp,Q68FE7,Mus musculus ,Tmem151b ,561
