,sptr,accession,organism,GN,length
99,sp,O19063,Sus scrofa ,APCS ,224
100,sp,A5GFY8,Sus scrofa ,PHGDH ,533
101,sp,A5A761,Sus scrofa ,SFXN1 ,322
102,sp,Q29268,Sus scrofa ,STXBP2 ,118
103,sp,O19069,Sus scrofa ,SUCLG1 ,346
104,sp,Q5BLZ2,Sus scrofa ,PLIN3 ,439
105,sp,P62863,Sus scrofa ,FAU ,59
106,sp,Q06AA5,Sus scrofa ,TSPAN9 ,239
107,sp,I3L5V6,Sus scrofa ,SARM1 ,725
108,sp,Q719N1,Sus scrofa ,SPAST ,616
109,sp,P28768,Sus scrofa ,SOD2 ,144
110,sp,A5A763,Sus scrofa ,SOX10 ,469
111,sp,Q9GKQ9,Sus scrofa ,SMAD4 ,552
112,sp,P28220,Sus scrofa ,SORBS2 ,158
113,sp,Q95274,Sus scrofa ,TMSB4 ,44
114,sp,Q56P28,Sus scrofa ,ARL6IP5 ,188
115,sp,A4Z6H1,Sus scrofa ,ADSS2 ,456
116,sp,P01269,Sus scrofa ,PTH ,115
117,sp,Q4LE85,Sus scrofa ,RAB27A ,221
118,sp,P50121,Sus scrofa ,RBP2 ,134
119,sp,P62844,Sus scrofa ,RPS15 ,145
120,sp,Q4GWZ2,Sus scrofa ,RPSA ,295
121,sp,P31636,Sus scrofa ,SLC5A4 ,660
122,sp,Q7M2P1,Sus scrofa ,TNP3 ,76
123,sp,P56729,Sus scrofa ,SI ,62
124,sp,P63317,Sus scrofa ,TNNC1 ,161
125,sp,Q9BEA8,Sus scrofa ,FASLG ,282
126,sp,P32306,Sus scrofa ,OXTR ,386
127,sp,Q95JC9,Sus scrofa ,,676
128,sp,Q8MIQ9,Sus scrofa ,Oca2 ,845
129,sp,Q06AU6,Sus scrofa ,RAB5A ,215
130,sp,Q06AU7,Sus scrofa ,RAB1B ,201
131,sp,P17560,Sus scrofa ,RENBP ,402
132,sp,Q8HZV3,Sus scrofa ,TFRC ,768
133,sp,P81649,Sus scrofa ,RNASE6 ,153
134,sp,Q9TUZ0,Sus scrofa ,STAT5B ,787
135,sp,B8XX90,Sus scrofa ,STING1 ,378
136,sp,Q06AK6,Sus scrofa ,TFIP11 ,836
137,sp,Q7YS88,Sus scrofa ,RAMP3 ,151
138,sp,Q2YGT9,Sus scrofa ,RPL6 ,284
139,sp,Q29308,Sus scrofa ,RPS19 ,136
140,sp,Q5PYH3,Sus scrofa ,SAR1B ,198
141,sp,A7LCJ3,Sus scrofa ,SIGLEC1 ,1730
142,sp,Q0MUU2,Sus scrofa ,SMPX ,86
143,sp,A2TF48,Sus scrofa ,MYD88 ,293
144,sp,P19621,Sus scrofa ,MME ,26
145,sp,Q02038,Sus scrofa ,NLN ,704
146,sp,A5PF10,Sus scrofa ,NEU1 ,416
147,sp,O79882,Sus scrofa ,MT-ND6 ,175
148,sp,P09933,Sus scrofa ,TPO ,926
149,sp,P46405,Sus scrofa ,RPS12 ,132
150,sp,P35323,Sus scrofa ,SPRP ,97
151,sp,Q5CD18,Sus scrofa ,TGFBR1 ,503
152,sp,P00761,Sus scrofa ,,231
153,sp,Q9GLP2,Sus scrofa ,PROC ,459
154,sp,Q6QAT0,Sus scrofa ,RPL32 ,135
155,sp,P16225,Sus scrofa ,,187
156,sp,P17630,Sus scrofa ,TCN1 ,417
157,sp,F1SRI0,Sus scrofa ,TRAPPC2 ,140
158,sp,P01224,Sus scrofa ,TSHB ,138
159,sp,Q29261,Sus scrofa ,VIL1 ,827
160,sp,Q29384,Sus scrofa ,PSMB4 ,154
161,sp,Q06AU2,Sus scrofa ,RAP2A ,183
162,sp,P80551,Sus scrofa ,RNASE2 ,20
163,sp,P29258,Sus scrofa ,TNP2 ,137
164,sp,A0P8Z5,Sus scrofa ,UIMC1 ,721
165,sp,Q2HY40,Sus scrofa ,TXNIP ,391
166,sp,P53027,Sus scrofa ,RPL10A ,165
167,sp,P49666,Sus scrofa ,RPL21 ,160
168,sp,P53590,Sus scrofa ,SUCLG2 ,433
169,sp,P02587,Sus scrofa ,TNNC2 ,159
170,sp,O62809,Sus scrofa ,HCRTR2 ,444
171,sp,Q29013,Sus scrofa ,POU2F2 ,478
172,sp,P49932,Sus scrofa ,PMAP37 ,167
173,sp,P01238,Sus scrofa ,PRL ,229
174,sp,Q19PY3,Sus scrofa ,RTCB ,505
175,sp,A0AAS4,Sus scrofa ,SGMS1 ,418
176,sp,Q29350,Sus scrofa ,U2AF1 ,82
177,sp,P79335,Sus scrofa ,SERPINE1 ,402
178,sp,Q8SPR7,Sus scrofa ,PLCD4 ,772
179,sp,Q863Z0,Sus scrofa ,PSME2 ,239
180,sp,Q29375,Sus scrofa ,RPL7A ,132
181,sp,Q29303,Sus scrofa ,RPS14 ,79
182,sp,Q09821,Sus scrofa ,TNP4 ,138
183,sp,P63246,Sus scrofa ,RACK1 ,317
184,sp,Q8MI69,Sus scrofa ,WFDC2 ,123
185,sp,Q29126,Sus scrofa ,,144
186,sp,P49811,Sus scrofa ,MYOD1 ,319
187,sp,Q7YR76,Sus scrofa ,MYOCD ,933
188,sp,Q52NJ6,Sus scrofa ,RAB14 ,215
189,sp,Q5FZP5,Sus scrofa ,SCG2 ,616
190,sp,Q28920,Sus scrofa ,SPMI ,137
191,sp,Q767M0,Sus scrofa ,PPP1R18 ,618
192,sp,P35496,Sus scrofa ,,137
193,sp,P79387,Sus scrofa ,NR5A1 ,461
194,sp,B9TRX0,Sus scrofa ,LEPROT ,131
195,sp,P0DTA4,Sus scrofa ,PCCA ,730
196,sp,D3K5L7,Sus scrofa ,TRIP13 ,431
197,sp,P32196,Sus scrofa ,NPG3 ,149
198,sp,Q29187,Sus scrofa ,RPL4 ,101
199,sp,P00348,Sus scrofa ,HADH ,314
200,sp,P79291,Sus scrofa ,OPRD1 ,228
201,sp,P00592,Sus scrofa ,PLA2G1B ,146
202,sp,P41535,Sus scrofa ,ADCYAP1 ,176
203,sp,Q6ITQ4,Sus scrofa ,PDZK1IP1 ,114
204,sp,Q29087,Sus scrofa ,POU3F3 ,131
205,sp,O02696,Sus scrofa ,PIK3R5 ,877
206,sp,P09889,Sus scrofa ,ACP5 ,340
207,sp,B8Q0B2,Sus scrofa ,BVES ,360
208,sp,P00671,Sus scrofa ,RNASE1 ,124
209,sp,Q2VJ60,Sus scrofa ,RNF19A ,838
210,sp,P81608,Sus scrofa ,SAL1 ,191
211,sp,Q9GLG4,Sus scrofa ,CHGB ,668
212,sp,Q5MNU5,Sus scrofa ,SCAP ,1279
213,sp,B0FWK4,Sus scrofa ,SPCS1 ,102
214,sp,O18896,Sus scrofa ,SOX9 ,509
215,sp,P20034,Sus scrofa ,PDGFB ,15
216,sp,P49933,Sus scrofa ,NPG4 ,149
217,sp,Q9GL01,Sus scrofa ,RPN2 ,629
218,sp,Q06A97,Sus scrofa ,SCGN ,276
219,sp,Q52NJ2,Sus scrofa ,RAB1A ,205
220,sp,Q06AU3,Sus scrofa ,RAB3A ,220
221,sp,Q95276,Sus scrofa ,RPL5 ,125
222,sp,Q6SA96,Sus scrofa ,RPS23 ,143
223,sp,P16960,Sus scrofa ,RYR1 ,5035
224,sp,Q8MK48,Sus scrofa ,SLC22A6 ,547
225,sp,P49927,Sus scrofa ,PRNP ,257
226,sp,Q29205,Sus scrofa ,RPL11 ,178
227,sp,A5GFQ0,Sus scrofa ,RPL7L1 ,247
228,sp,Q29201,Sus scrofa ,RPS16 ,146
229,sp,D5K8A9,Sus scrofa ,SPACA1 ,295
230,sp,Q8SQC1,Sus scrofa ,SCARB1 ,509
231,sp,P26429,Sus scrofa ,SLC5A1 ,605
232,sp,F1S668,Sus scrofa ,RGS16 ,200
233,sp,Q29011,Sus scrofa ,ACAN ,537
234,sp,P68005,Sus scrofa ,PYY ,36
235,sp,Q95M75,Sus scrofa ,RHBG ,458
236,sp,Q29214,Sus scrofa ,RPLP0 ,318
237,sp,Q29106,Sus scrofa ,RSC1A1 ,623
238,sp,A7WLI0,Sus scrofa ,SUMO4 ,95
239,sp,Q863T6,Sus scrofa ,SLC22A1 ,554
240,sp,P80310,Sus scrofa ,S100A12 ,92
241,sp,P81245,Sus scrofa ,,157
242,sp,Q06AU4,Sus scrofa ,RAB34 ,259
243,sp,A1XQU3,Sus scrofa ,RPL14 ,213
244,sp,Q95281,Sus scrofa ,RPL29 ,160
245,sp,P02725,Sus scrofa ,GYPA ,133
246,sp,P02067,Sus scrofa ,HBB ,147
247,sp,O02734,Sus scrofa ,HMGCS2 ,508
248,sp,E2IUK4,Sus scrofa ,HORMAD1 ,394
249,sp,P26894,Sus scrofa ,CXCL8 ,103
250,sp,Q2HWD6,Sus scrofa ,KIT ,972
251,sp,Q2MJV9,Sus scrofa ,PALMD ,551
252,sp,P01300,Sus scrofa ,PPY ,65
253,sp,O02697,Sus scrofa ,PIK3CG ,1102
254,sp,P79897,Sus scrofa ,GUCA2A ,109
255,sp,P79288,Sus scrofa ,KLF9 ,244
256,sp,P58392,Sus scrofa ,KCNN3 ,724
257,sp,P01232,Sus scrofa ,LHB ,141
258,sp,Q864R5,Sus scrofa ,RHOT2 ,620
259,sp,P80552,Sus scrofa ,,25
260,sp,Q29052,Sus scrofa ,ITIH1 ,902
261,sp,Q52N47,Sus scrofa ,ITM2B ,266
262,sp,P05207,Sus scrofa ,PRKAR2A ,155
263,sp,O02781,Sus scrofa ,MTNR1A ,154
264,sp,Q27HK4,Sus scrofa ,MTX1 ,317
265,sp,P12021,Sus scrofa ,,1150
266,sp,P50131,Sus scrofa ,PTGER3 ,373
267,sp,P00791,Sus scrofa ,PGA ,385
268,sp,Q52I78,Sus scrofa ,NAMPT ,491
269,sp,P04175,Sus scrofa ,POR ,678
270,sp,A2BD05,Sus scrofa ,NEK6 ,313
271,sp,P49931,Sus scrofa ,PMAP36 ,166
272,sp,Q5D891,Sus scrofa ,PIK3C3 ,887
273,sp,P80054,Sus scrofa ,PR39 ,172
274,sp,P80272,Sus scrofa ,HMGN2 ,90
275,sp,Q03365,Sus scrofa ,HNF1B ,559
276,sp,Q29119,Sus scrofa ,IAPP ,32
277,sp,P00998,Sus scrofa ,SPINK1 ,56
278,sp,Q865K8,Sus scrofa ,PAQR7 ,350
279,sp,Q29548,Sus scrofa ,HEXB ,531
280,sp,Q9N0F1,Sus scrofa ,DLST ,455
281,sp,Q5YA25,Sus scrofa ,P2RY2 ,373
282,sp,Q06AT1,Sus scrofa ,HPCA ,193
283,sp,P26461,Sus scrofa ,,97
284,sp,Q8MJS1,Sus scrofa ,IL12RB2 ,861
285,sp,P15175,Sus scrofa ,,96
286,sp,P04088,Sus scrofa ,INHBB ,407
287,sp,O77591,Sus scrofa ,IMPA1 ,277
288,sp,Q764M8,Sus scrofa ,IFNAR1 ,560
289,sp,Q68J42,Sus scrofa ,LIPE ,764
290,sp,O02773,Sus scrofa ,MAN1A1 ,659
291,sp,P79379,Sus scrofa ,MT2A ,61
292,sp,Q767L8,Sus scrofa ,MDC1 ,2042
293,sp,O02836,Sus scrofa ,NPY2R ,382
294,sp,Q95313,Sus scrofa ,MEA1 ,174
295,sp,P79385,Sus scrofa ,MFGE8 ,409
296,sp,Q29599,Sus scrofa ,OAS1 ,349
297,sp,P19757,Sus scrofa ,PRM2 ,92
298,sp,Q9TV63,Sus scrofa ,MYH2 ,1939
299,sp,P02189,Sus scrofa ,MB ,154
300,sp,Q2HXW4,Sus scrofa ,NTN1 ,600
301,sp,Q28955,Sus scrofa ,NTAN1 ,311
302,sp,C7EMF5,Sus scrofa ,KLF17 ,387
303,sp,Q28969,Sus scrofa ,NOS3 ,1205
304,sp,Q9GL76,Sus scrofa ,NECTIN1 ,515
305,sp,Q6QGC0,Sus scrofa ,PDLIM3 ,365
306,sp,Q767K9,Sus scrofa ,PPP1R10 ,925
307,sp,Q9BEC7,Sus scrofa ,NPL ,319
308,sp,P79386,Sus scrofa ,NR0B1 ,471
309,sp,Q7YS99,Sus scrofa ,OPTN ,574
310,sp,P51525,Sus scrofa ,,228
311,sp,A1XQU9,Sus scrofa ,RPS20 ,119
312,sp,Q19S50,Sus scrofa ,STAT3 ,770
313,sp,Q9XT90,Sus scrofa ,MMP14 ,580
314,sp,Q3YFL6,Sus scrofa ,MYF6 ,242
315,sp,P27594,Sus scrofa ,MX1 ,663
316,sp,P79293,Sus scrofa ,MYH7 ,1935
317,sp,A5A779,Sus scrofa ,RABGGTA ,567
318,sp,Q29277,Sus scrofa ,PPP1R1B ,137
319,sp,P52552,Sus scrofa ,PRDX2 ,127
320,sp,O62640,Sus scrofa ,PIAP ,358
321,sp,Q29244,Sus scrofa ,PIGR ,102
322,sp,Q9TSX9,Sus scrofa ,PRDX6 ,224
323,sp,Q64L94,Sus scrofa ,PSME1 ,249
324,sp,Q95307,Sus scrofa ,RPL13A ,137
325,sp,P63053,Sus scrofa ,UBA52 ,128
326,sp,P15466,Sus scrofa ,,34
327,sp,A1XQR6,Sus scrofa ,ROMO1 ,79
328,sp,Q29259,Sus scrofa ,NDUFB6 ,128
329,sp,Q2MJK3,Sus scrofa ,NRAS ,189
330,sp,Q06AU5,Sus scrofa ,RAB32 ,226
331,sp,P10775,Sus scrofa ,RNH1 ,456
332,sp,P36887,Sus scrofa ,PRKACA ,351
333,sp,O97581,Sus scrofa ,LHX3 ,383
334,sp,P49923,Sus scrofa ,LPL ,478
335,sp,Q52NJ0,Sus scrofa ,RABAC1 ,185
336,sp,Q19KI0,Sus scrofa ,RHCG ,460
337,sp,Q29029,Sus scrofa ,CDC25C ,502
338,sp,P79376,Sus scrofa ,MT1C ,61
339,sp,Q29077,Sus scrofa ,ODF1 ,262
340,sp,Q95250,Sus scrofa ,PGRMC1 ,194
341,sp,P61291,Sus scrofa ,PSME3 ,254
342,sp,Q6J1I8,Sus scrofa ,RNF114 ,228
343,sp,Q6WZ17,Sus scrofa ,NGB ,151
344,sp,P08552,Sus scrofa ,NEFM ,455
345,sp,P56632,Sus scrofa ,MT-ND4L ,98
346,sp,O77741,Sus scrofa ,SLC11A1 ,538
347,sp,P27485,Sus scrofa ,RBP4 ,201
348,sp,Q29223,Sus scrofa ,RPL34 ,117
349,sp,A1XQU7,Sus scrofa ,RPLP1 ,114
350,sp,P23695,Sus scrofa ,IGF2 ,181
351,sp,O18839,Sus scrofa ,KCNJ2 ,427
352,sp,Q003G9,Sus scrofa ,ODAM ,276
353,sp,Q6KEQ9,Sus scrofa ,PCDH11X ,1117
354,sp,Q0MS45,Sus scrofa ,PSEN2 ,448
355,sp,P35495,Sus scrofa ,,133
356,sp,P12662,Sus scrofa ,RBP3 ,25
357,sp,Q3S853,Sus scrofa ,RGS2 ,212
358,sp,P15468,Sus scrofa ,RNASE4 ,147
359,sp,P67934,Sus scrofa ,TAC3 ,126
360,sp,Q3YLA6,Sus scrofa ,SRSF1 ,248
361,sp,Q06AT3,Sus scrofa ,UCHL5 ,329
362,sp,P21753,Sus scrofa ,TMSB10 ,42
363,sp,Q29076,Sus scrofa ,POU2F1 ,745
364,sp,Q10735,Sus scrofa ,PGB ,67
365,sp,Q29081,Sus scrofa ,PMVK ,192
366,sp,Q767L1,Sus scrofa ,PRR3 ,131
367,sp,A5GFW7,Sus scrofa ,RTF2 ,306
368,sp,A1Z623,Sus scrofa ,SELENOF ,162
369,sp,Q2IA00,Sus scrofa ,SPEF2 ,1812
370,sp,P01248,Sus scrofa ,GH1 ,216
371,sp,Q7YRV6,Sus scrofa ,SOCS2 ,198
372,sp,P15203,Sus scrofa ,TGFB3 ,409
373,sp,Q8HXL3,Sus scrofa ,WDR62 ,1541
374,sp,P42706,Sus scrofa ,THPO ,26
375,sp,F1RMN2,Sus scrofa ,TMEM86B ,226
376,sp,P38160,Sus scrofa ,TTL ,379
377,sp,P42099,Sus scrofa ,ZP2 ,716
378,sp,F1RRV3,Sus scrofa ,TG ,2692
379,sp,A5GFT6,Sus scrofa ,TSHZ2 ,1035
380,sp,Q06AA9,Sus scrofa ,UBE2D2 ,147
381,sp,P16708,Sus scrofa ,,417
382,sp,Q29419,Sus scrofa ,ZFY ,148
383,sp,E1CHH8,Sus scrofa ,VRTN ,698
384,sp,O62651,Sus scrofa ,WT1 ,449
385,sp,Q28833,Sus scrofa ,VWF ,2482
386,sp,A5GFS8,Sus scrofa ,VAPB ,243
387,sp,Q95J46,Sus scrofa ,UTS2 ,121
388,sp,Q6RI85,Sus scrofa ,PGK2 ,417
389,sp,Q8WNW3,Sus scrofa ,Jup ,745
390,sp,P00336,Sus scrofa ,LDHB ,334
391,sp,P79280,Sus scrofa ,MYLK ,139
392,sp,Q6JTA8,Sus scrofa ,PRLR ,625
393,sp,P05383,Sus scrofa ,PRKACB ,351
394,sp,Q9TUH9,Sus scrofa ,KCNE1 ,130
395,sp,Q5ISC6,Sus scrofa ,HEBP1 ,189
396,sp,Q45FY6,Sus scrofa ,HPRT1 ,218
397,sp,Q462R2,Sus scrofa ,ITGB1BP2 ,346
398,sp,O97661,Sus scrofa ,HCRTR1 ,425
399,sp,O19072,Sus scrofa ,OTC ,328
400,sp,P32194,Sus scrofa ,NPG1 ,149
401,sp,Q29078,Sus scrofa ,,389
402,sp,Q29095,Sus scrofa ,PTGDS ,189
403,sp,Q29073,Sus scrofa ,PTGR1 ,329
404,sp,P01177,Sus scrofa ,OXT ,125
405,sp,P02547,Sus scrofa ,NEFL ,549
406,sp,P81271,Sus scrofa ,MYH11 ,65
407,sp,P12037,Sus scrofa ,NEFH ,142
408,sp,Q95JB4,Sus scrofa ,LEAP2 ,77
409,sp,Q9GL51,Sus scrofa ,PAFAH1B1 ,410
410,sp,Q2L969,Sus scrofa ,MTX2 ,267
411,sp,A1XQU1,Sus scrofa ,PSMB7 ,277
412,sp,Q9BDP6,Sus scrofa ,PTTG1 ,121
413,sp,Q4PJW2,Sus scrofa ,NCOA1 ,1440
414,sp,Q6QA76,Sus scrofa ,PDZD11 ,140
415,sp,P79384,Sus scrofa ,PCCB ,539
416,sp,Q00655,Sus scrofa ,SYK ,628
417,sp,Q5U9S1,Sus scrofa ,MBL1 ,249
418,sp,P79378,Sus scrofa ,MT1F ,61
419,sp,P06867,Sus scrofa ,PLG ,809
420,sp,P11493,Sus scrofa ,PPP2CB ,293
421,sp,A5GFX0,Sus scrofa ,PRELID3B ,194
422,sp,Q9GLL9,Sus scrofa ,PROP1 ,226
423,sp,P62901,Sus scrofa ,RPL31 ,125
424,sp,P02550,Sus scrofa ,TUBA1A ,451
425,sp,Q4PLW0,Sus scrofa ,PLIN2 ,459
426,sp,O46560,Sus scrofa ,PDXK ,322
427,sp,O97676,Sus scrofa ,SREBF1 ,1151
428,sp,A1YIZ1,Sus scrofa ,SEPHS2 ,451
429,sp,P47787,Sus scrofa ,TBXAS1 ,534
430,sp,Q8SQ34,Sus scrofa ,CD40 ,278
431,sp,Q863I2,Sus scrofa ,OXSR1 ,529
432,sp,Q29079,Sus scrofa ,PAG2 ,420
433,sp,P01214,Sus scrofa ,PDYN ,256
434,sp,P35624,Sus scrofa ,TIMP1 ,207
435,sp,Q29100,Sus scrofa ,,122
436,sp,Q9MZ01,Sus scrofa ,MCHR1 ,121
437,sp,Q9XSW3,Sus scrofa ,MBL2 ,240
438,sp,Q8MJ39,Sus scrofa ,MGP ,103
439,sp,Q95L04,Sus scrofa ,UPK2 ,184
440,sp,P46202,Sus scrofa ,,420
441,sp,P79380,Sus scrofa ,MT2B ,61
442,sp,P29804,Sus scrofa ,PDHA1 ,389
443,sp,A0A4X1UM84,Sus scrofa ,PCK1 ,622
444,sp,Q9XSD9,Sus scrofa ,DCN ,360
445,sp,P62831,Sus scrofa ,RPL23 ,140
446,sp,P62279,Sus scrofa ,RPS13 ,107
447,sp,Q19AZ8,Sus scrofa ,F2 ,623
448,sp,Q9MZ15,Sus scrofa ,VDAC2 ,294
449,sp,Q75NG9,Sus scrofa ,TNNT3 ,271
450,sp,A7XUJ6,Sus scrofa ,TRAF6 ,541
451,sp,O77736,Sus scrofa ,FAS ,332
452,sp,P14610,Sus scrofa ,,26
453,sp,Q2F7Z7,Sus scrofa ,TMEM59 ,323
454,sp,P62197,Sus scrofa ,PSMC5 ,406
455,sp,M3TYT0,Sus scrofa ,ROCK2 ,1388
456,sp,Q6QAP7,Sus scrofa ,RPS17 ,135
457,sp,Q02745,Sus scrofa ,ST3GAL1 ,343
458,sp,Q2QLD7,Sus scrofa ,ST7 ,585
459,sp,Q9N2D1,Sus scrofa ,MCT7 ,275
460,sp,O97557,Sus scrofa ,TUFT1 ,188
461,sp,P23687,Sus scrofa ,PREP ,710
462,sp,P30034,Sus scrofa ,PF4 ,90
463,sp,Q29293,Sus scrofa ,RPL3 ,130
464,sp,Q8MIA3,Sus scrofa ,SLC35A4 ,324
465,sp,Q767K8,Sus scrofa ,MRPS18B ,258
466,sp,P0DSN9,Sus scrofa ,SAA4 ,128
467,sp,Q4U116,Sus scrofa ,SLC4A4 ,1079
468,sp,C3RZA1,Sus scrofa ,SMYD2 ,433
469,sp,A7WLH8,Sus scrofa ,SUMO1 ,101
470,sp,Q865B6,Sus scrofa ,PPARGC1A ,796
471,sp,A1XQS1,Sus scrofa ,PET100 ,76
472,sp,P63221,Sus scrofa ,RPS21 ,83
473,sp,P31950,Sus scrofa ,S100A11 ,99
474,sp,Q7PCJ9,Sus scrofa ,SAT2 ,170
475,sp,Q29551,Sus scrofa ,OXCT1 ,520
476,sp,Q711S8,Sus scrofa ,SPP2 ,204
477,sp,Q06AT9,Sus scrofa ,RBM4B ,359
478,sp,P79324,Sus scrofa ,RPL15 ,153
479,sp,Q29333,Sus scrofa ,RPL27A ,54
480,sp,P36393,Sus scrofa ,SRY ,236
481,sp,P26044,Sus scrofa ,RDX ,583
482,sp,Q867B5,Sus scrofa ,RAG1 ,1043
483,sp,Q864Z2,Sus scrofa ,RGS5 ,181
484,sp,Q0Z8U2,Sus scrofa ,RPS3 ,243
485,sp,P49171,Sus scrofa ,RPS26 ,115
486,sp,Q15B89,Sus scrofa ,SLC35D2 ,343
